,Project_Type,Community_Name,Study_Year,Taxa_lvl4,Taxa_lvl5,Percent_Using,Percent_Attempting_to_Harvest,Percent_Harvesting,Percent_Receiving,Percent_Giving,Number_Of_Resource_Harvested,Estimated_Amount_Harvested,Percapita_Number_Harvested,Percapita_Pounds_Harvested
267,Marine Mammal Surveys,Chenega,2005,Stellar Sea Lion,Stellar Sea Lion,0,NA,0,NA,NA,0,0,0,NA
268,Marine Mammal Surveys,Chenega,2006,Stellar Sea Lion,Stellar Sea Lion,0,NA,0,NA,NA,0,0,0,NA
269,Marine Mammal Surveys,Chenega,2007,Stellar Sea Lion,Stellar Sea Lion,0.44,NA,0.22,NA,NA,2.9,2.9,0.04,NA
270,Marine Mammal Surveys,Chenega,2008,Stellar Sea Lion,Stellar Sea Lion,0,NA,0,NA,NA,0,0,0,NA
271,Marine Mammal Surveys,Cordova,1995,Seal,Harbor Seal,0.309,NA,0.096,NA,NA,83.4,85.4,0.13,NA
272,Marine Mammal Surveys,Cordova,1996,Seal,Harbor Seal,0.334,NA,0.183,NA,NA,122.2,130.8,0.17,NA
273,Marine Mammal Surveys,Cordova,1997,Seal,Harbor Seal,0.308,NA,0.199,NA,NA,120.8,120.8,0.17,NA
274,Marine Mammal Surveys,Cordova,1998,Seal,Harbor Seal,0.243,NA,0.137,NA,NA,79.1,88.3,0.2,NA
275,Marine Mammal Surveys,Cordova,2000,Seal,Harbor Seal,0.455,NA,0.075,NA,NA,87.8,101.8,0.24,NA
276,Marine Mammal Surveys,Cordova,2001,Seal,Harbor Seal,NA,NA,NA,NA,NA,102.7,108.5,0.28,NA
277,Marine Mammal Surveys,Cordova,2002,Seal,Harbor Seal,NA,NA,NA,NA,NA,102.7,108.5,0.28,NA
278,Marine Mammal Surveys,Cordova,2003,Seal,Harbor Seal,NA,NA,NA,NA,NA,77.7,80.5,0.21,NA
279,Marine Mammal Surveys,Cordova,2004,Seal,Harbor Seal,NA,NA,NA,NA,NA,77.7,80.5,0.21,NA
280,Marine Mammal Surveys,Cordova,2005,Seal,Harbor Seal,0.875,NA,0.875,NA,NA,57,66,0.15,NA
281,Marine Mammal Surveys,Cordova,2006,Seal,Harbor Seal,0.857,NA,0.857,NA,NA,30.9,33.4,0.08,NA
282,Marine Mammal Surveys,Cordova,2007,Seal,Harbor Seal,1,NA,1,NA,NA,32,36,0.09,NA
283,Marine Mammal Surveys,Cordova,2008,Seal,Harbor Seal,0.875,NA,0.875,NA,NA,32,36,0.09,NA
284,Marine Mammal Surveys,Cordova,1995,Stellar Sea Lion,Stellar Sea Lion,0,NA,0,NA,NA,0,1,0,NA
285,Marine Mammal Surveys,Cordova,1996,Stellar Sea Lion,Stellar Sea Lion,0.041,NA,0,NA,NA,0,0,0,NA
286,Marine Mammal Surveys,Cordova,1997,Stellar Sea Lion,Stellar Sea Lion,0,NA,0,NA,NA,0,0,0,NA
287,Marine Mammal Surveys,Cordova,1998,Stellar Sea Lion,Stellar Sea Lion,0,NA,0,NA,NA,0,0,0,NA
288,Marine Mammal Surveys,Cordova,2000,Stellar Sea Lion,Stellar Sea Lion,0,NA,0,NA,NA,0,0,0,NA
289,Marine Mammal Surveys,Cordova,2001,Stellar Sea Lion,Stellar Sea Lion,NA,NA,NA,NA,NA,3.5,3.5,0.01,NA
290,Marine Mammal Surveys,Cordova,2002,Stellar Sea Lion,Stellar Sea Lion,NA,NA,NA,NA,NA,3.5,3.5,0.01,NA
291,Marine Mammal Surveys,Cordova,2003,Stellar Sea Lion,Stellar Sea Lion,NA,NA,NA,NA,NA,2.7,2.7,0.01,NA
292,Marine Mammal Surveys,Cordova,2004,Stellar Sea Lion,Stellar Sea Lion,NA,NA,NA,NA,NA,2.7,2.7,0.01,NA
293,Marine Mammal Surveys,Cordova,2005,Stellar Sea Lion,Stellar Sea Lion,0,NA,0,NA,NA,0,0,0,NA
294,Marine Mammal Surveys,Cordova,2006,Stellar Sea Lion,Stellar Sea Lion,0,NA,0,NA,NA,0,0,0,NA
295,Marine Mammal Surveys,Cordova,2007,Stellar Sea Lion,Stellar Sea Lion,0.125,NA,0.125,NA,NA,1,1,0,NA
296,Marine Mammal Surveys,Cordova,2008,Stellar Sea Lion,Stellar Sea Lion,0,NA,0,NA,NA,0,0,0,NA
297,Marine Mammal Surveys,Nanwalek,1995,Seal,Harbor Seal,0.923,NA,0.256,NA,NA,23.6,23.6,0.15,NA
298,Marine Mammal Surveys,Nanwalek,1996,Seal,Harbor Seal,0.833,NA,0.167,NA,NA,22.4,22.4,0.15,NA
299,Marine Mammal Surveys,Nanwalek,1997,Seal,Harbor Seal,0.806,NA,0.161,NA,NA,20.2,20.2,0.13,NA
300,Marine Mammal Surveys,Nanwalek,1998,Seal,Harbor Seal,0.914,NA,0.2,NA,NA,30.9,31.9,0.2,NA
301,Marine Mammal Surveys,Nanwalek,2000,Seal,Harbor Seal,0.968,NA,0.258,NA,NA,52.9,56.8,0.32,NA
302,Marine Mammal Surveys,Nanwalek,2001,Seal,Harbor Seal,1,NA,0.146,NA,NA,42.3,43.5,0.26,NA
303,Marine Mammal Surveys,Nanwalek,2002,Seal,Harbor Seal,1,NA,0.178,NA,NA,40,52,0.24,NA
304,Marine Mammal Surveys,Nanwalek,2003,Seal,Harbor Seal,NA,NA,NA,NA,NA,30,33,0.18,NA
305,Marine Mammal Surveys,Nanwalek,2004,Seal,Harbor Seal,1,NA,0.149,NA,NA,30.2,42.7,0.18,NA
306,Marine Mammal Surveys,Nanwalek,2005,Seal,Harbor Seal,1,NA,0.114,NA,NA,20.3,26.7,0.12,NA
307,Marine Mammal Surveys,Nanwalek,2006,Seal,Harbor Seal,1,NA,0.154,NA,NA,23.6,28.7,0.14,NA
308,Marine Mammal Surveys,Nanwalek,2007,Seal,Harbor Seal,0.875,NA,0.15,NA,NA,22.3,28.2,0.14,NA
309,Marine Mammal Surveys,Nanwalek,2008,Seal,Harbor Seal,0.891,NA,0.152,NA,NA,33.7,41.9,0.2,NA
310,Marine Mammal Surveys,Nanwalek,1995,Stellar Sea Lion,Stellar Sea Lion,0.59,NA,0.128,NA,NA,9.2,9.2,0.06,NA
311,Marine Mammal Surveys,Nanwalek,1996,Stellar Sea Lion,Stellar Sea Lion,0.333,NA,0.1,NA,NA,4.3,5.3,0.03,NA
312,Marine Mammal Surveys,Nanwalek,1997,Stellar Sea Lion,Stellar Sea Lion,0.581,NA,0,NA,NA,0,0,0,NA
313,Marine Mammal Surveys,Nanwalek,1998,Stellar Sea Lion,Stellar Sea Lion,0.457,NA,0.057,NA,NA,2.1,2.1,0.01,NA
314,Marine Mammal Surveys,Nanwalek,2000,Stellar Sea Lion,Stellar Sea Lion,0.516,NA,0.097,NA,NA,6.5,6.5,0.04,NA
315,Marine Mammal Surveys,Nanwalek,2001,Stellar Sea Lion,Stellar Sea Lion,0.317,NA,0.049,NA,NA,3.7,3.7,0.02,NA
316,Marine Mammal Surveys,Nanwalek,2002,Stellar Sea Lion,Stellar Sea Lion,0.4,NA,0.022,NA,NA,2,2,0.01,NA
317,Marine Mammal Surveys,Nanwalek,2003,Stellar Sea Lion,Stellar Sea Lion,NA,NA,NA,NA,NA,5,5,0.02,NA
318,Marine Mammal Surveys,Nanwalek,2004,Stellar Sea Lion,Stellar Sea Lion,0.319,NA,0.043,NA,NA,2.1,2.1,0.01,NA
319,Marine Mammal Surveys,Nanwalek,2005,Stellar Sea Lion,Stellar Sea Lion,0.25,NA,0.023,NA,NA,1.1,1.1,0.01,NA
320,Marine Mammal Surveys,Nanwalek,2006,Stellar Sea Lion,Stellar Sea Lion,0.231,NA,0.026,NA,NA,1,1,0.01,NA
321,Marine Mammal Surveys,Nanwalek,2007,Stellar Sea Lion,Stellar Sea Lion,0.175,NA,0.05,NA,NA,4.7,4.7,0.01,NA
322,Marine Mammal Surveys,Nanwalek,2008,Stellar Sea Lion,Stellar Sea Lion,0.239,NA,0.022,NA,NA,1,2,0.01,NA
323,Marine Mammal Surveys,Port Graham,1995,Seal,Harbor Seal,0.879,NA,0.086,NA,NA,23,23,0.14,NA
324,Marine Mammal Surveys,Port Graham,1996,Seal,Harbor Seal,0.561,NA,0.105,NA,NA,15.5,17.7,0.09,NA
325,Marine Mammal Surveys,Port Graham,1997,Seal,Harbor Seal,0.732,NA,0.107,NA,NA,15.8,19,0.1,NA
326,Marine Mammal Surveys,Port Graham,1998,Seal,Harbor Seal,0.902,NA,0.255,NA,NA,52.3,55.9,0.32,NA
327,Marine Mammal Surveys,Port Graham,2000,Seal,Harbor Seal,0.925,NA,0.1,NA,NA,40.2,41.9,0.27,NA
328,Marine Mammal Surveys,Port Graham,2001,Seal,Harbor Seal,0.75,NA,0.179,NA,NA,39.4,47.6,0.26,NA
329,Marine Mammal Surveys,Port Graham,2002,Seal,Harbor Seal,0.75,NA,0.179,NA,NA,39.4,47.6,0.26,NA
330,Marine Mammal Surveys,Port Graham,2003,Seal,Harbor Seal,NA,NA,NA,NA,NA,45,45,0.3,NA
331,Marine Mammal Surveys,Port Graham,2004,Seal,Harbor Seal,0.556,NA,0.111,NA,NA,44.4,47.2,0.29,NA
332,Marine Mammal Surveys,Port Graham,2005,Seal,Harbor Seal,0.538,NA,0.115,NA,NA,63.5,71.9,0.42,NA
333,Marine Mammal Surveys,Port Graham,2006,Seal,Harbor Seal,1,NA,0.296,NA,NA,51,51,0.34,NA
334,Marine Mammal Surveys,Port Graham,2007,Seal,Harbor Seal,0.963,NA,0.111,NA,NA,7.8,9.3,0.05,NA
335,Marine Mammal Surveys,Port Graham,2008,Seal,Harbor Seal,0.719,NA,0.156,NA,NA,16.5,22,0.11,NA
336,Marine Mammal Surveys,Port Graham,1995,Stellar Sea Lion,Stellar Sea Lion,0.603,NA,0.103,NA,NA,10,12,0.06,NA
337,Marine Mammal Surveys,Port Graham,1996,Stellar Sea Lion,Stellar Sea Lion,0.105,NA,0.018,NA,NA,1.1,1.1,0.01,NA
338,Marine Mammal Surveys,Port Graham,1997,Stellar Sea Lion,Stellar Sea Lion,0.214,NA,0,NA,NA,0,0,0,NA
339,Marine Mammal Surveys,Port Graham,1998,Stellar Sea Lion,Stellar Sea Lion,0.078,NA,0.02,NA,NA,1.2,1.2,0.01,NA
340,Marine Mammal Surveys,Port Graham,2000,Stellar Sea Lion,Stellar Sea Lion,0.45,NA,0.025,NA,NA,1.7,5,0.01,NA
341,Marine Mammal Surveys,Port Graham,2001,Stellar Sea Lion,Stellar Sea Lion,0.143,NA,0,NA,NA,0,0,0,NA
342,Marine Mammal Surveys,Port Graham,2002,Stellar Sea Lion,Stellar Sea Lion,0.143,NA,0,NA,NA,0,0,0,NA
343,Marine Mammal Surveys,Port Graham,2003,Stellar Sea Lion,Stellar Sea Lion,NA,NA,NA,NA,NA,1,1,0.01,NA
344,Marine Mammal Surveys,Port Graham,2004,Stellar Sea Lion,Stellar Sea Lion,0.278,NA,0.056,NA,NA,6.9,12.5,0.05,NA
345,Marine Mammal Surveys,Port Graham,2005,Stellar Sea Lion,Stellar Sea Lion,0.038,NA,0,NA,NA,0,0,0,NA
346,Marine Mammal Surveys,Port Graham,2006,Stellar Sea Lion,Stellar Sea Lion,0,NA,0,NA,NA,0,0,0,NA
347,Marine Mammal Surveys,Port Graham,2007,Stellar Sea Lion,Stellar Sea Lion,0.037,NA,0,NA,NA,0,0,0,NA
348,Marine Mammal Surveys,Port Graham,2008,Stellar Sea Lion,Stellar Sea Lion,0.188,NA,0.031,NA,NA,2.8,2.8,0.02,NA
349,Marine Mammal Surveys,Seward,1995,Seal,Harbor Seal,0.137,NA,0.007,NA,NA,10.9,16.4,0.03,NA
350,Marine Mammal Surveys,Seward,1996,Seal,Harbor Seal,0.044,NA,0.009,NA,NA,5.6,5.6,0.01,NA
351,Marine Mammal Surveys,Seward,1997,Seal,Harbor Seal,NA,NA,0,NA,NA,0,0,0,NA
352,Marine Mammal Surveys,Seward,1998,Seal,Harbor Seal,NA,NA,0,NA,NA,0,0,0,NA
353,Marine Mammal Surveys,Seward,2000,Seal,Harbor Seal,0.125,NA,0.063,NA,NA,4,4,0.01,NA
354,Marine Mammal Surveys,Seward,2001,Seal,Harbor Seal,0.533,NA,0,NA,NA,0,0,0,NA
355,Marine Mammal Surveys,Seward,2002,Seal,Harbor Seal,0.511,NA,0.032,NA,NA,3.5,3.5,0.01,NA
356,Marine Mammal Surveys,Seward,2003,Seal,Harbor Seal,NA,NA,NA,NA,NA,0,0,0,NA
357,Marine Mammal Surveys,Seward,2004,Seal,Harbor Seal,0,NA,0,NA,NA,0,0,0,NA
358,Marine Mammal Surveys,Seward,2005,Seal,Harbor Seal,0.333,NA,0,NA,NA,0,0,0,NA
359,Marine Mammal Surveys,Seward,2006,Seal,Harbor Seal,0.333,NA,0,NA,NA,0,0,0,NA
360,Marine Mammal Surveys,Seward,2007,Seal,Harbor Seal,0.667,NA,0,NA,NA,0,0,0,NA
361,Marine Mammal Surveys,Seward,2008,Seal,Harbor Seal,1,NA,0,NA,NA,0,0,0,NA
362,Marine Mammal Surveys,Seward,1995,Stellar Sea Lion,Stellar Sea Lion,0,NA,0,NA,NA,0,0,0,NA
363,Marine Mammal Surveys,Seward,1996,Stellar Sea Lion,Stellar Sea Lion,0.031,NA,0,NA,NA,0,0,0,NA
364,Marine Mammal Surveys,Seward,1997,Stellar Sea Lion,Stellar Sea Lion,NA,NA,0,NA,NA,0,0,0,NA
365,Marine Mammal Surveys,Seward,1998,Stellar Sea Lion,Stellar Sea Lion,NA,NA,NA,NA,NA,0,0,0,NA
366,Marine Mammal Surveys,Seward,2000,Stellar Sea Lion,Stellar Sea Lion,0,NA,0,NA,NA,0,0,0,NA
367,Marine Mammal Surveys,Seward,2001,Stellar Sea Lion,Stellar Sea Lion,0.03,NA,0,NA,NA,0,0,0,NA
368,Marine Mammal Surveys,Seward,2002,Stellar Sea Lion,Stellar Sea Lion,0.029,NA,0,NA,NA,0,0,0,NA
369,Marine Mammal Surveys,Seward,2003,Stellar Sea Lion,Stellar Sea Lion,NA,NA,NA,NA,NA,0,0,0,NA
370,Marine Mammal Surveys,Seward,2004,Stellar Sea Lion,Stellar Sea Lion,0,NA,0,NA,NA,0,0,0,NA
371,Marine Mammal Surveys,Seward,2005,Stellar Sea Lion,Stellar Sea Lion,0,NA,0,NA,NA,0,0,0,NA
372,Marine Mammal Surveys,Seward,2006,Stellar Sea Lion,Stellar Sea Lion,0,NA,0,NA,NA,0,0,0,NA
373,Marine Mammal Surveys,Seward,2007,Stellar Sea Lion,Stellar Sea Lion,0,NA,0,NA,NA,0,0,0,NA
374,Marine Mammal Surveys,Seward,2008,Stellar Sea Lion,Stellar Sea Lion,0,NA,0,NA,NA,0,0,0,NA
375,Marine Mammal Surveys,Tatitlek,1995,Seal,Harbor Seal,0.137,NA,0.007,NA,NA,10.9,16.4,0.03,NA
376,Marine Mammal Surveys,Tatitlek,1996,Seal,Harbor Seal,0.044,NA,0.009,NA,NA,5.6,5.6,0.01,NA
377,Marine Mammal Surveys,Tatitlek,1997,Seal,Harbor Seal,NA,NA,NA,NA,NA,0,0,0,NA
378,Marine Mammal Surveys,Tatitlek,1998,Seal,Harbor Seal,NA,NA,NA,NA,NA,0,0,0,NA
379,Marine Mammal Surveys,Tatitlek,2000,Seal,Harbor Seal,0.125,NA,0.063,NA,NA,4,4,0.01,NA
380,Marine Mammal Surveys,Tatitlek,2001,Seal,Harbor Seal,0.533,NA,0,NA,NA,0,0,0,NA
381,Marine Mammal Surveys,Tatitlek,2002,Seal,Harbor Seal,0.511,NA,0.032,NA,NA,3.5,3.5,0.01,NA
382,Marine Mammal Surveys,Tatitlek,2003,Seal,Harbor Seal,NA,NA,NA,NA,NA,0,0,0,NA
383,Marine Mammal Surveys,Tatitlek,2004,Seal,Harbor Seal,0,NA,0,NA,NA,0,0,0,NA
384,Marine Mammal Surveys,Tatitlek,2005,Seal,Harbor Seal,0.333,NA,0.333,NA,NA,0,0,0,NA
385,Marine Mammal Surveys,Tatitlek,2006,Seal,Harbor Seal,0.333,NA,0,NA,NA,0,0,0,NA
386,Marine Mammal Surveys,Tatitlek,2007,Seal,Harbor Seal,0.667,NA,0.667,NA,NA,0,0,0,NA
387,Marine Mammal Surveys,Tatitlek,2008,Seal,Harbor Seal,1,NA,1,NA,NA,0,0,0,NA
388,Marine Mammal Surveys,Tatitlek,1995,Stellar Sea Lion,Stellar Sea Lion,0.368,NA,0.053,NA,NA,2.6,2.6,0.04,NA
389,Marine Mammal Surveys,Tatitlek,1996,Stellar Sea Lion,Stellar Sea Lion,0.522,NA,0.13,NA,NA,5,5,0.07,NA
390,Marine Mammal Surveys,Tatitlek,1997,Stellar Sea Lion,Stellar Sea Lion,0.474,NA,0.053,NA,NA,2.7,4.1,0.04,NA
391,Marine Mammal Surveys,Tatitlek,1998,Stellar Sea Lion,Stellar Sea Lion,0.526,NA,0.211,NA,NA,15.1,21.9,0.17,NA
392,Marine Mammal Surveys,Tatitlek,2000,Stellar Sea Lion,Stellar Sea Lion,0.429,NA,0.071,NA,NA,1.9,1.9,0.02,NA
393,Marine Mammal Surveys,Tatitlek,2001,Stellar Sea Lion,Stellar Sea Lion,0.368,NA,0.105,NA,NA,6.3,6.3,0.07,NA
394,Marine Mammal Surveys,Tatitlek,2002,Stellar Sea Lion,Stellar Sea Lion,0.067,NA,0,NA,NA,0,0,0,NA
395,Marine Mammal Surveys,Tatitlek,2003,Stellar Sea Lion,Stellar Sea Lion,0.667,NA,0.167,NA,NA,12.4,13.5,0.14,NA
396,Marine Mammal Surveys,Tatitlek,2004,Stellar Sea Lion,Stellar Sea Lion,0.789,NA,0.421,NA,NA,26.3,36.6,0.29,NA
397,Marine Mammal Surveys,Tatitlek,2005,Stellar Sea Lion,Stellar Sea Lion,0.9,NA,0.25,NA,NA,39,48.1,0.43,NA
398,Marine Mammal Surveys,Tatitlek,2006,Stellar Sea Lion,Stellar Sea Lion,0.6,NA,0.133,NA,NA,16,24,0.18,NA
399,Marine Mammal Surveys,Tatitlek,2007,Stellar Sea Lion,Stellar Sea Lion,0.824,NA,0.412,NA,NA,41.3,49.2,0.45,NA
400,Marine Mammal Surveys,Tatitlek,2008,Stellar Sea Lion,Stellar Sea Lion,0.55,NA,0.2,NA,NA,16.5,19.8,0.18,NA
401,Marine Mammal Surveys,Valdez,1995,Seal,Harbor Seal,NA,NA,NA,NA,NA,16.8,16.8,0.64,NA
402,Marine Mammal Surveys,Valdez,1996,Seal,Harbor Seal,NA,NA,NA,NA,NA,13.5,18,0.04,NA
403,Marine Mammal Surveys,Valdez,1997,Seal,Harbor Seal,NA,NA,NA,NA,NA,12.5,12.5,0.03,NA
404,Marine Mammal Surveys,Valdez,1998,Seal,Harbor Seal,NA,NA,NA,NA,NA,41.7,50,0.11,NA
405,Marine Mammal Surveys,Valdez,2000,Seal,Harbor Seal,NA,NA,NA,NA,NA,41.7,50,0.11,NA
406,Marine Mammal Surveys,Valdez,2001,Seal,Harbor Seal,NA,NA,NA,NA,NA,18,19,0.04,NA
407,Marine Mammal Surveys,Valdez,2002,Seal,Harbor Seal,NA,NA,NA,NA,NA,44,50,0.11,NA
408,Marine Mammal Surveys,Valdez,2003,Seal,Harbor Seal,NA,NA,NA,NA,NA,60,65,0.15,NA
409,Marine Mammal Surveys,Valdez,2004,Seal,Harbor Seal,NA,NA,NA,NA,NA,58,58,0.14,NA
410,Marine Mammal Surveys,Valdez,2005,Seal,Harbor Seal,1,NA,1,NA,NA,63,69,0.15,NA
411,Marine Mammal Surveys,Valdez,2006,Seal,Harbor Seal,1,NA,1,NA,NA,63,69,0.15,NA
412,Marine Mammal Surveys,Valdez,2007,Seal,Harbor Seal,0,NA,0,NA,NA,0,0,0,NA
413,Marine Mammal Surveys,Valdez,2008,Seal,Harbor Seal,1,NA,1,NA,NA,24,24,0.06,NA
414,Marine Mammal Surveys,Valdez,1995,Stellar Sea Lion,Stellar Sea Lion,NA,NA,NA,NA,NA,0,0,0,NA
415,Marine Mammal Surveys,Valdez,1996,Stellar Sea Lion,Stellar Sea Lion,NA,NA,NA,NA,NA,0,0,0,NA
416,Marine Mammal Surveys,Valdez,1997,Stellar Sea Lion,Stellar Sea Lion,NA,NA,NA,NA,NA,0,0,0,NA
417,Marine Mammal Surveys,Valdez,1998,Stellar Sea Lion,Stellar Sea Lion,NA,NA,NA,NA,NA,1.7,3.3,0,NA
418,Marine Mammal Surveys,Valdez,2000,Stellar Sea Lion,Stellar Sea Lion,NA,NA,NA,NA,NA,1.7,3.3,0,NA
419,Marine Mammal Surveys,Valdez,2001,Stellar Sea Lion,Stellar Sea Lion,NA,NA,NA,NA,NA,0,0,0,NA
420,Marine Mammal Surveys,Valdez,2002,Stellar Sea Lion,Stellar Sea Lion,NA,NA,NA,NA,NA,0,0,0,NA
421,Marine Mammal Surveys,Valdez,2003,Stellar Sea Lion,Stellar Sea Lion,NA,NA,NA,NA,NA,0,0,0,NA
422,Marine Mammal Surveys,Valdez,2004,Stellar Sea Lion,Stellar Sea Lion,NA,NA,NA,NA,NA,0,0,0,NA
423,Marine Mammal Surveys,Valdez,2005,Stellar Sea Lion,Stellar Sea Lion,NA,NA,NA,NA,NA,0,0,0,NA
424,Marine Mammal Surveys,Valdez,2006,Stellar Sea Lion,Stellar Sea Lion,NA,NA,NA,NA,NA,0,0,0,NA
425,Marine Mammal Surveys,Valdez,2007,Stellar Sea Lion,Stellar Sea Lion,NA,NA,NA,NA,NA,0,0,0,NA
426,Marine Mammal Surveys,Valdez,2008,Stellar Sea Lion,Stellar Sea Lion,NA,NA,NA,NA,NA,0,0,0,NA
