"","Taxa_lvl1","Taxa_lvl2","Taxa_lvl3","Taxa_lvl4","Taxa_lvl5","Habitat"
"69","Fish","Non-Salmon Fish","Tuna_Mackerel","Tuna_Mackerel","Unknown Tuna/Mackerel","Marine"
"70","Fish","Non-Salmon Fish","Char","Char","Arctic Char","Freshwater_Anadromous"
"71","Fish","Non-Salmon Fish","Sturgeon","Sturgeon","Unknown Sturgeon","Freshwater_Anadromous"
"72","Fish","Non-Salmon Fish","Whitefish","Whitefish","Humpback Whitefish","Freshwater_Anadromous"
"73","Fish","Non-Salmon Fish","Whitefish","Whitefish","Lake Whitefish","Freshwater_Anadromous"
"74","Fish","Non-Salmon Fish","Unknown Non-Salmon Fish","Unknown Non-Salmon Fish","Unknown Non-Salmon Fish","Marine"
"75","Fish","Non-Salmon Fish","Burbot","Burbot","Burbot","Freshwater_Anadromous"
"76","Fish","Non-Salmon Fish","Pike","Pike","Unknown Pike","Freshwater_Anadromous"
"77","Land Mammals","Small Land Mammals","Fox","Fox","Fox","Terrestrial"
"78","Land Mammals","Small Land Mammals","Hare","Hare","Hare","Terrestrial"
"79","Land Mammals","Small Land Mammals","Squirrel","Squirrel","Squirrel","Terrestrial"
"80","Land Mammals","Large Land Mammals","Black Bear","Black Bear","Black Bear","Terrestrial"
"81","Land Mammals","Large Land Mammals","Brown Bear","Brown Bear","Brown Bear","Terrestrial"
"82","Land Mammals","Large Land Mammals","Caribou","Caribou","Caribou","Terrestrial"
"83","Land Mammals","Large Land Mammals","Deer","Deer","Deer","Terrestrial"
"84","Land Mammals","Large Land Mammals","Elk","Elk","Elk","Terrestrial"
"85","Land Mammals","Large Land Mammals","Goat","Goat","Goat","Terrestrial"
"86","Land Mammals","Large Land Mammals","Moose","Moose","Moose","Terrestrial"
"87","Land Mammals","Large Land Mammals","Dall Sheep","Dall Sheep","Dall Sheep","Terrestrial"
"88","Land Mammals","Small Land Mammals","Beaver","Beaver","Beaver","Terrestrial"
"89","Land Mammals","Small Land Mammals","Coyote","Coyote","Coyote","Terrestrial"
"90","Land Mammals","Small Land Mammals","Fox","Fox","Red Fox","Terrestrial"
"91","Land Mammals","Small Land Mammals","Hare","Hare","Snowshoe Hare","Terrestrial"
"92","Land Mammals","Small Land Mammals","Land Otter","Land Otter","Land Otter","Terrestrial"
"93","Land Mammals","Small Land Mammals","Lynx","Lynx","Lynx","Terrestrial"
"94","Land Mammals","Small Land Mammals","Marten","Marten","Marten","Terrestrial"
"95","Land Mammals","Small Land Mammals","Mink","Mink","Mink","Terrestrial"
"96","Land Mammals","Small Land Mammals","Porcupine","Porcupine","Porcupine","Terrestrial"
"97","Land Mammals","Small Land Mammals","Squirrel","Squirrel","Parka Squirrel (ground)","Terrestrial"
"98","Land Mammals","Small Land Mammals","Squirrel","Squirrel","Tree Squirrel","Terrestrial"
"99","Land Mammals","Small Land Mammals","Weasel","Weasel","Weasel","Terrestrial"
