"","Taxa_lvl1","Taxa_lvl2","Taxa_lvl3","Taxa_lvl4","Taxa_lvl5","Habitat"
"105","Land Mammals","Small Land Mammals","Weasel","Weasel","Weasel","Terrestrial"
"106","Land Mammals","Small Land Mammals","Wolf","Wolf","Wolf","Terrestrial"
"107","Land Mammals","Small Land Mammals","Wolverine","Wolverine","Wolverine","Terrestrial"
"108","Land Mammals","Feral Animals","Cattle - Feral","Cattle - Feral","Cattle - Feral","Terrestrial"
"109","Land Mammals","Feral Animals","Rabbit - Feral","Rabbit - Feral","Rabbit - Feral","Terrestrial"
"110","Land Mammals","Feral Animals","Reindeer - Feral","Reindeer - Feral","Reindeer - Feral","Terrestrial"
"111","Land Mammals","Large Land Mammals","Unknown Large Land Mammal","Unknown Large Land Mammal","Unknown Large Land Mammal","Terrestrial"
"112","Marine Mammals","Marine Mammals","Porpoise","Porpoise","Porpoise","Marine"
"113","Marine Mammals","Marine Mammals","Seal","Seal","Seal","Marine"
"114","Marine Mammals","Marine Mammals","Seal","Seal","Bearded Seal","Marine"
"115","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","Marine"
"116","Marine Mammals","Marine Mammals","Seal","Seal","Unknown Seal","Marine"
"117","Marine Mammals","Marine Mammals","Sea Otter","Sea Otter","Sea Otter","Marine"
"118","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","Marine"
"119","Marine Mammals","Marine Mammals","Whale","Whale","Belukha","Marine"
"120","Marine Mammals","Marine Mammals","Whale","Whale","Bowhead","Marine"
"121","Marine Mammals","Marine Mammals","Whale","Whale","Unknown Whale","Marine"
"122","Marine Mammals","Marine Mammals","Walrus","Walrus","Walrus","Marine"
"123","Marine Mammals","Marine Mammals","Porpoise","Porpoise","Dall Porpoise","Marine"
"124","Birds and Eggs","Migratory Birds","Duck","Duck","Duck","Terrestrial"
"125","Birds and Eggs","Migratory Birds","Geese","Geese","Geese","Terrestrial"
"126","Birds and Eggs","Migratory Birds","Crane","Crane","Crane","Terrestrial"
"127","Birds and Eggs","Bird Eggs","Duck Eggs","Duck Eggs","Duck Eggs","Terrestrial"
"128","Birds and Eggs","Bird Eggs","Geese Eggs","Geese Eggs","Geese Eggs","Terrestrial"
"129","Birds and Eggs","Bird Eggs","Shorebird Eggs","Shorebird Eggs","Shorebird Eggs","Terrestrial"
"130","Birds and Eggs","Bird Eggs","Unknown Eggs","Unknown Eggs","Unknown Eggs","Terrestrial"
"131","Birds and Eggs","Other Birds","Unknown Other Birds","Unknown Other Birds","Unknown Other Birds","Terrestrial"
"132","Birds and Eggs","Migratory Birds","Swan","Swan","Swan","Terrestrial"
"133","Birds and Eggs","Migratory Birds","Shorebird","Shorebird","Shorebird","Terrestrial"
"134","Birds and Eggs","Migratory Birds","Duck","Eider","Eider","Terrestrial"
"135","Birds and Eggs","Migratory Birds","Duck","Goldeneye","Goldeneye","Terrestrial"
"136","Birds and Eggs","Migratory Birds","Duck","Merganser","Merganser","Terrestrial"
"137","Birds and Eggs","Migratory Birds","Duck","Scaup","Scaup","Terrestrial"
"138","Birds and Eggs","Migratory Birds","Duck","Scoter","Scoter","Terrestrial"
"139","Birds and Eggs","Migratory Birds","Duck","Teal","Teal","Terrestrial"
"140","Birds and Eggs","Migratory Birds","Duck","Wigeon","Wigeon","Terrestrial"
"141","Birds and Eggs","Migratory Birds","Geese","Canada Geese","Canada Geese","Terrestrial"
"142","Birds and Eggs","Migratory Birds","Seabirds and Loons","Cormorants","Cormorants","Terrestrial"
"143","Birds and Eggs","Migratory Birds","Seabirds and Loons","Gull","Gull","Terrestrial"
"144","Birds and Eggs","Migratory Birds","Seabirds and Loons","Murre","Murre","Terrestrial"
"145","Birds and Eggs","Migratory Birds","Seabirds and Loons","Puffin","Puffin","Terrestrial"
"146","Birds and Eggs","Other Birds","Upland Game Birds","Grouse","Grouse","Terrestrial"
"147","Birds and Eggs","Other Birds","Upland Game Birds","Ptarmigan","Ptarmigan","Terrestrial"
"148","Birds and Eggs","Bird Eggs","Seabirds and Loon Eggs","Gull Eggs","Gull Eggs","Terrestrial"
"149","Birds and Eggs","Bird Eggs","Seabirds and Loon Eggs","Puffin Eggs","Puffin Eggs","Terrestrial"
"150","Birds and Eggs","Bird Eggs","Seabirds and Loon Eggs","Tern Eggs","Tern Eggs","Terrestrial"
"151","Birds and Eggs","Migratory Birds","Duck","Bufflehead","Bufflehead","Terrestrial"
"152","Birds and Eggs","Migratory Birds","Duck","Canvasback","Canvasback","Terrestrial"
"153","Birds and Eggs","Migratory Birds","Duck","Eider","Common Eider","Terrestrial"
"154","Birds and Eggs","Migratory Birds","Duck","Eider","King Eider","Terrestrial"
"155","Birds and Eggs","Migratory Birds","Duck","Eider","Spectacled Eider","Terrestrial"
"156","Birds and Eggs","Migratory Birds","Duck","Eider","Stellar Eider","Terrestrial"
"157","Birds and Eggs","Migratory Birds","Duck","Eider","Unknown Eider","Terrestrial"
"158","Birds and Eggs","Migratory Birds","Duck","Gadwall","Gadwall","Terrestrial"
"159","Birds and Eggs","Migratory Birds","Duck","Goldeneye","Unknown Goldeneye","Terrestrial"
"160","Birds and Eggs","Migratory Birds","Duck","Harlequin","Harlequin","Terrestrial"
"161","Birds and Eggs","Migratory Birds","Duck","Mallard","Mallard","Terrestrial"
"162","Birds and Eggs","Migratory Birds","Duck","Merganser","Common Merganser","Terrestrial"
"163","Birds and Eggs","Migratory Birds","Duck","Merganser","Red-Breasted Merganser","Terrestrial"
"164","Birds and Eggs","Migratory Birds","Duck","Merganser","Unknown Merganser","Terrestrial"
"165","Birds and Eggs","Migratory Birds","Duck","Long-tailed Duck (Oldsquaw)","Long-tailed Duck (Oldsquaw)","Terrestrial"
"166","Birds and Eggs","Migratory Birds","Duck","Northern Pintail","Northern Pintail","Terrestrial"
"167","Birds and Eggs","Migratory Birds","Duck","Scaup","Unknown Scaup","Terrestrial"
"168","Birds and Eggs","Migratory Birds","Duck","Scoter","Black Scoter","Terrestrial"
"169","Birds and Eggs","Migratory Birds","Duck","Scoter","Surf Scoter","Terrestrial"
"170","Birds and Eggs","Migratory Birds","Duck","Scoter","White-winged Scoter","Terrestrial"
"171","Birds and Eggs","Migratory Birds","Duck","Scoter","Unknown Scoter","Terrestrial"
"172","Birds and Eggs","Migratory Birds","Duck","Northern Shoveler","Northern Shoveler","Terrestrial"
"173","Birds and Eggs","Migratory Birds","Duck","Teal","Green-Winged Teal","Terrestrial"
"174","Birds and Eggs","Migratory Birds","Duck","Teal","Unknown Teal","Terrestrial"
"175","Birds and Eggs","Migratory Birds","Duck","Wigeon","American Wigeon","Terrestrial"
"176","Birds and Eggs","Migratory Birds","Duck","Wigeon","Unknown Wigeon","Terrestrial"
"177","Birds and Eggs","Migratory Birds","Duck","Unknown Duck","Unknown Duck","Terrestrial"
"178","Birds and Eggs","Migratory Birds","Geese","Brant","Brant","Terrestrial"
"179","Birds and Eggs","Migratory Birds","Geese","Canada Geese","Dusky Canada Geese","Terrestrial"
"180","Birds and Eggs","Migratory Birds","Geese","Canada Geese","Lesser Canada Geese","Terrestrial"
"181","Birds and Eggs","Migratory Birds","Geese","Canada Geese","Unknown Canada Geese","Terrestrial"
"182","Birds and Eggs","Migratory Birds","Geese","Emperor Geese","Emperor Geese","Terrestrial"
"183","Birds and Eggs","Migratory Birds","Geese","Snow Geese","Snow Geese","Terrestrial"
"184","Birds and Eggs","Migratory Birds","Geese","White-fronted Geese","White-fronted Geese","Terrestrial"
"185","Birds and Eggs","Migratory Birds","Geese","Unknown Geese","Unknown Geese","Terrestrial"
"186","Birds and Eggs","Migratory Birds","Swan","Tundra Swan (whistling)","Tundra Swan (whistling)","Terrestrial"
"187","Birds and Eggs","Migratory Birds","Crane","Sandhill Crane","Sandhill Crane","Terrestrial"
"188","Birds and Eggs","Migratory Birds","Shorebird","Wilson's Snipe","Wilson's Snipe","Terrestrial"
"189","Birds and Eggs","Migratory Birds","Seabirds and Loons","Cormorants","Double-Crested Cormorant","Terrestrial"
"190","Birds and Eggs","Migratory Birds","Seabirds and Loons","Cormorants","Pelagic Cormorant","Terrestrial"
"191","Birds and Eggs","Migratory Birds","Seabirds and Loons","Cormorants","Unknown Cormorant","Terrestrial"
"192","Birds and Eggs","Migratory Birds","Seabirds and Loons","Gull","Unknown Gull","Terrestrial"
"193","Birds and Eggs","Migratory Birds","Seabirds and Loons","Kittiwakes","Black Legged Kittiwake","Terrestrial"
"194","Birds and Eggs","Migratory Birds","Seabirds and Loons","Loon","Loon","Terrestrial"
"195","Birds and Eggs","Migratory Birds","Seabirds and Loons","Loon","Unknown Loon","Terrestrial"
"196","Birds and Eggs","Migratory Birds","Seabirds and Loons","Murre","Common Murre","Terrestrial"
"197","Birds and Eggs","Migratory Birds","Seabirds and Loons","Murre","Unknown Murre","Terrestrial"
"198","Birds and Eggs","Migratory Birds","Seabirds and Loons","Puffin","Horned Puffin","Terrestrial"
"199","Birds and Eggs","Migratory Birds","Seabirds and Loons","Puffin","Tufted Puffin","Terrestrial"
"200","Birds and Eggs","Migratory Birds","Seabirds and Loons","Puffin","Unknown Puffin","Terrestrial"
"201","Birds and Eggs","Migratory Birds","Seabirds and Loons","Unknown Seabirds","Unknown Seabird","Terrestrial"
"202","Birds and Eggs","Migratory Birds","Heron","Great Blue Heron","Great Blue Heron","Terrestrial"
"203","Birds and Eggs","Other Birds","Upland Game Birds","Grouse","Spruce Grouse","Terrestrial"
"204","Birds and Eggs","Other Birds","Upland Game Birds","Grouse","Unknown Grouse","Terrestrial"
"205","Birds and Eggs","Other Birds","Upland Game Birds","Ptarmigan","Unknown Ptarmigan","Terrestrial"
"206","Birds and Eggs","Bird Eggs","Duck Eggs","Unknown Duck Eggs","Unknown Duck Eggs","Terrestrial"
"207","Birds and Eggs","Bird Eggs","Geese Eggs","Unknown Geese Eggs","Unknown Geese Eggs","Terrestrial"
"208","Birds and Eggs","Bird Eggs","Shorebird Eggs","Black Oystercatcher Eggs","Black Oystercatcher Eggs","Terrestrial"
"209","Birds and Eggs","Bird Eggs","Seabirds and Loon Eggs","Gull Eggs","Unknown Gull Eggs","Terrestrial"
"210","Birds and Eggs","Bird Eggs","Seabirds and Loon Eggs","Murre Eggs","Unknown Murre Eggs","Terrestrial"
"211","Birds and Eggs","Bird Eggs","Seabirds and Loon Eggs","Puffin Eggs","Unknown Puffin Eggs","Terrestrial"
"212","Birds and Eggs","Bird Eggs","Seabirds and Loon Eggs","Unknown Tern Eggs","Unknown Tern Eggs","Terrestrial"
"213","Birds and Eggs","Bird Eggs","Seabirds and Loon Eggs","Unknown Seabird Eggs","Unknown Seabird Eggs","Terrestrial"
"214","Birds and Eggs","Migratory Birds","Crane","Crane","Unknown Crane","Terrestrial"
"215","Birds and Eggs","Other Birds","Upland Game Birds","Grouse","Sharp-Tailed Grouse","Terrestrial"
"216","Birds and Eggs","Other Birds","Upland Game Birds","Grouse","Ruffed Grouse","Terrestrial"
"217","Birds and Eggs","Other Birds","Upland Game Birds","Ptarmigan","White-tailed Ptarmigan","Terrestrial"
"218","Marine Invertebrates","Marine Invertebrates","Chiton","Chiton","Chiton","Nearshore"
"219","Marine Invertebrates","Marine Invertebrates","Cockle","Cockle","Cockle","Nearshore"
"220","Marine Invertebrates","Marine Invertebrates","Limpet","Limpet","Limpet","Nearshore"
"221","Marine Invertebrates","Marine Invertebrates","Mussel","Mussel","Mussel","Nearshore"
"222","Marine Invertebrates","Marine Invertebrates","Scallop","Scallop","Scallop","Marine"
"223","Marine Invertebrates","Marine Invertebrates","Sea Cucumber","Sea Cucumber","Sea Cucumber","Nearshore"
"224","Marine Invertebrates","Marine Invertebrates","Sea Urchin","Sea Urchin","Sea Urchin","Nearshore"
"225","Marine Invertebrates","Marine Invertebrates","Crab","King Crab","King Crab","Marine"
"226","Marine Invertebrates","Marine Invertebrates","Crab","Tanner Crab","Tanner Crab","Marine"
"227","Marine Invertebrates","Marine Invertebrates","Oyster","Oyster","Oyster","Marine"
"228","Marine Invertebrates","Marine Invertebrates","Scallop","Rock Scallops","Rock Scallops","Marine"
"229","Marine Invertebrates","Marine Invertebrates","Abalone","Abalone","Abalone","Nearshore"
"230","Marine Invertebrates","Marine Invertebrates","Chiton","Red (large) Chiton","Red (large) Chiton","Nearshore"
"231","Marine Invertebrates","Marine Invertebrates","Chiton","Black (small) Chiton","Black (small) Chiton","Nearshore"
"232","Marine Invertebrates","Marine Invertebrates","Chiton","Unknown Chiton","Unknown Chiton","Nearshore"
"233","Marine Invertebrates","Marine Invertebrates","Clam","Butter Clam","Butter Clam","Nearshore"
"234","Marine Invertebrates","Marine Invertebrates","Clam","Horse Clam","Horse Clam","Nearshore"
"235","Marine Invertebrates","Marine Invertebrates","Clam","Pacific Littleneck Clam","Pacific Littleneck Clam","Nearshore"
"236","Marine Invertebrates","Marine Invertebrates","Clam","Pinkneck Clam","Pinkneck Clam","Nearshore"
"237","Marine Invertebrates","Marine Invertebrates","Clam","Razor Clam","Razor Clam","Nearshore"
"238","Marine Invertebrates","Marine Invertebrates","Clam","Unknown Clam","Unknown Clam","Nearshore"
"239","Marine Invertebrates","Marine Invertebrates","Cockle","Unknown Cockle","Unknown Cockle","Nearshore"
"240","Marine Invertebrates","Marine Invertebrates","Crab","Dungeness Crab","Dungeness Crab","Nearshore"
"241","Marine Invertebrates","Marine Invertebrates","Crab","King Crab","Unknown King Crab","Marine"
"242","Marine Invertebrates","Marine Invertebrates","Crab","Tanner Crab","Tanner Crab, Bairdi","Marine"
"243","Marine Invertebrates","Marine Invertebrates","Crab","Tanner Crab","Unknown Tanner Crab","Marine"
"244","Marine Invertebrates","Marine Invertebrates","Crab","Unknown Crab","Unknown Crab","Marine"
"245","Marine Invertebrates","Marine Invertebrates","Clam","Geoduck Clam","Geoduck Clam","Nearshore"
"246","Marine Invertebrates","Marine Invertebrates","Mussel","Unknown Mussel","Unknown Mussel","Nearshore"
"247","Marine Invertebrates","Marine Invertebrates","Octopus","Octopus","Octopus","Marine"
"248","Marine Invertebrates","Marine Invertebrates","Oyster","Oyster","Rock Oyster","Marine"
"249","Marine Invertebrates","Marine Invertebrates","Oyster","Unknown Oyster","Unknown Oyster","Marine"
"250","Marine Invertebrates","Marine Invertebrates","Scallop","Weathervane Scallop","Weathervane Scallop","Marine"
"251","Marine Invertebrates","Marine Invertebrates","Sea Cucumber","Unknown Sea Cucumber","Unknown Sea Cucumber","Nearshore"
"252","Marine Invertebrates","Marine Invertebrates","Sea Urchin","Unknown Sea Urchin","Unknown Sea Urchin","Nearshore"
"253","Marine Invertebrates","Marine Invertebrates","Shrimp","Shrimp","Shrimp","Marine"
"254","Marine Invertebrates","Marine Invertebrates","Snails","Snails","Snails","Nearshore"
"255","Marine Invertebrates","Marine Invertebrates","Squid","Squid","Squid","Marine"
"256","Marine Invertebrates","Marine Invertebrates","Whelk","Whelk","Whelk","Nearshore"
"257","Marine Invertebrates","Marine Invertebrates","Clam","Clam","Softshell Clam","Nearshore"
"258","Marine Invertebrates","Marine Invertebrates","Crab","Box Crab","Box Crab","Marine"
"259","Marine Invertebrates","Marine Invertebrates","Crab","Hair Crab","Hair Crab","Marine"
"260","Marine Invertebrates","Marine Invertebrates","Scallop","Unknown Scallop","Unknown Scallop","Marine"
"261","Vegetation","Vegetation","Berries","Berries","Berries","Terrestrial"
"262","Vegetation","Vegetation","Plants/Greens","Plants/Greens","Plants/Greens","Terrestrial"
"263","Vegetation","Vegetation","Seaweed/Kelp","Seaweed/Kelp","Seaweed/Kelp","Nearshore"
"264","Vegetation","Vegetation","Wood","Wood","Wood","Terrestrial"
"265","Vegetation","Vegetation","Berries","Berries","Blueberry","Terrestrial"
"266","Vegetation","Vegetation","Berries","Berries","Low Bush Cranberry","Terrestrial"
"267","Vegetation","Vegetation","Berries","Berries","High Bush Cranberry","Terrestrial"
"268","Vegetation","Vegetation","Berries","Berries","Crowberry","Terrestrial"
"269","Vegetation","Vegetation","Berries","Berries","Gooseberry","Terrestrial"
"270","Vegetation","Vegetation","Berries","Berries","Currants","Terrestrial"
"271","Vegetation","Vegetation","Berries","Berries","Huckleberry","Terrestrial"
"272","Vegetation","Vegetation","Berries","Berries","Nagoonberry","Terrestrial"
"273","Vegetation","Vegetation","Berries","Berries","Salmonberry","Terrestrial"
"274","Vegetation","Vegetation","Berries","Berries","Strawberry","Terrestrial"
"275","Vegetation","Vegetation","Berries","Berries","Twisted Stalk Berry (Watermelon Berry)","Terrestrial"
"276","Vegetation","Vegetation","Berries","Berries","Bearberry","Terrestrial"
"277","Vegetation","Vegetation","Plants/Greens","Plants/Greens","Beach Asparagus","Terrestrial"
"278","Vegetation","Vegetation","Plants/Greens","Plants/Greens","Devils Club","Terrestrial"
"279","Vegetation","Vegetation","Plants/Greens","Plants/Greens","Fiddlehead Ferns","Terrestrial"
"280","Vegetation","Vegetation","Plants/Greens","Plants/Greens","Hudson Bay Tea","Terrestrial"
"281","Vegetation","Vegetation","Plants/Greens","Plants/Greens","Dandelion Greens","Terrestrial"
"282","Vegetation","Vegetation","Plants/Greens","Plants/Greens","Sourdock","Terrestrial"
"283","Vegetation","Vegetation","Plants/Greens","Plants/Greens","Spruce Tips","Terrestrial"
"284","Vegetation","Vegetation","Plants/Greens","Plants/Greens","Wild Celery","Terrestrial"
"285","Vegetation","Vegetation","Plants/Greens","Plants/Greens","Wild Parsley","Terrestrial"
"286","Vegetation","Vegetation","Plants/Greens","Plants/Greens","Wild Rose Hips","Terrestrial"
"287","Vegetation","Vegetation","Plants/Greens","Plants/Greens","Other Wild Greens","Terrestrial"
"288","Vegetation","Vegetation","Mushrooms","Mushrooms","Unknown Mushrooms","Terrestrial"
"289","Vegetation","Vegetation","Plants/Greens","Plants/Greens","Fireweed","Terrestrial"
"290","Vegetation","Vegetation","Seaweed/Kelp","Seaweed/Kelp","Black Seaweed","Nearshore"
"291","Vegetation","Vegetation","Seaweed/Kelp","Seaweed/Kelp","Bull Kelp","Nearshore"
"292","Vegetation","Vegetation","Seaweed/Kelp","Seaweed/Kelp","Red Seaweed","Nearshore"
"293","Vegetation","Vegetation","Seaweed/Kelp","Seaweed/Kelp","Sea Ribbons","Nearshore"
