"","Taxa_lvl1","Taxa_lvl2","Taxa_lvl3","Taxa_lvl4","Taxa_lvl5","Habitat"
"1","Fish","Non-Salmon Fish","Flounder","Flounder","Flounder","Marine"
"2","Fish","Non-Salmon Fish","Sculpin","Irish Lord","Irish Lord","Marine"
"3","Fish","Non-Salmon Fish","Shark","Shark","Shark","Marine"
"4","Fish","Non-Salmon Fish","Sole","Sole","Sole","Marine"
"5","Fish","Non-Salmon Fish","Pike","Pike","Pike","Freshwater_Anadromous"
"6","Fish","Non-Salmon Fish","Sheefish","Sheefish","Sheefish","Freshwater_Anadromous"
"7","Fish","Non-Salmon Fish","Sturgeon","Sturgeon","Sturgeon","Freshwater_Anadromous"
"8","Fish","Non-Salmon Fish","Whitefish","Whitefish","Whitefish","Freshwater_Anadromous"
"9","Fish","Non-Salmon Fish","Tuna_Mackerel","Tuna_Mackerel","Tuna_Mackerel","Marine"
"10","Fish","Non-Salmon Fish","Smelt","Smelt","Smelt","Freshwater_Anadromous"
"11","Fish","Non-Salmon Fish","Sculpin","Sculpin","Sculpin","Marine"
"12","Fish","Non-Salmon Fish","Herring","Herring Roe","Herring Roe","Nearshore"
"13","Fish","Non-Salmon Fish","Hexagrammidae","Hexagrammidae","Hexagrammidae","Marine"
"14","Fish","Non-Salmon Fish","Trout","Trout","Trout","Freshwater_Anadromous"
"15","Fish","Salmon","Oncorhynchus","Oncorhynchus","Chum Salmon","Freshwater_Anadromous"
"16","Fish","Salmon","Oncorhynchus","Oncorhynchus","Coho Salmon","Freshwater_Anadromous"
"17","Fish","Salmon","Oncorhynchus","Oncorhynchus","Chinook Salmon","Freshwater_Anadromous"
"18","Fish","Salmon","Oncorhynchus","Oncorhynchus","Pink Salmon","Freshwater_Anadromous"
"19","Fish","Salmon","Oncorhynchus","Oncorhynchus","Sockeye Salmon","Freshwater_Anadromous"
"20","Fish","Salmon","Oncorhynchus","Oncorhynchus","Landlocked Salmon","Freshwater_Anadromous"
"21","Fish","Salmon","Oncorhynchus","Oncorhynchus","Spawnouts","Freshwater_Anadromous"
"22","Fish","Salmon","Oncorhynchus","Oncorhynchus","Unknown Salmon","Freshwater_Anadromous"
"23","Fish","Non-Salmon Fish","Herring","Herring","Herring","Marine"
"24","Fish","Non-Salmon Fish","Smelt","Smelt","Eulachon (hooligan, candlefish)","Freshwater_Anadromous"
"25","Fish","Non-Salmon Fish","Smelt","Smelt","Unknown Smelt","Freshwater_Anadromous"
"26","Fish","Non-Salmon Fish","Bass","Bass","Sea Bass","Marine"
"27","Fish","Non-Salmon Fish","Gadiformes","Gadiformes","Pacific Cod (gray)","Marine"
"28","Fish","Non-Salmon Fish","Gadiformes","Gadiformes","Pacific Tom Cod","Marine"
"29","Fish","Non-Salmon Fish","Gadiformes","Gadiformes","Walleye Pollock (whiting)","Marine"
"30","Fish","Non-Salmon Fish","Gadiformes","Gadiformes","Unknown Gadiformes","Marine"
"31","Fish","Non-Salmon Fish","Eel","Eel","Eel","Marine"
"32","Fish","Non-Salmon Fish","Flounder","Flounder","Starry Flounder","Marine"
"33","Fish","Non-Salmon Fish","Flounder","Flounder","Unknown Flounder","Marine"
"34","Fish","Non-Salmon Fish","Hexagrammidae","Hexagrammidae","Kelp Greenling","Marine"
"35","Fish","Non-Salmon Fish","Hexagrammidae","Hexagrammidae","Lingcod","Marine"
"36","Fish","Non-Salmon Fish","Hexagrammidae","Hexagrammidae","Unknown Greenling","Marine"
"37","Fish","Non-Salmon Fish","Halibut","Halibut","Halibut","Marine"
"38","Fish","Non-Salmon Fish","Perch","Perch","Sea Perch","Marine"
"39","Fish","Non-Salmon Fish","Rockfish","Rockfish","Black Rockfish","Marine"
"40","Fish","Non-Salmon Fish","Rockfish","Rockfish","Red Rockfish","Marine"
"41","Fish","Non-Salmon Fish","Rockfish","Rockfish","Yellow Eye Rockfish","Marine"
"42","Fish","Non-Salmon Fish","Rockfish","Rockfish","Quillback Rockfish","Marine"
"43","Fish","Non-Salmon Fish","Rockfish","Rockfish","Dusky Rockfish","Marine"
"44","Fish","Non-Salmon Fish","Rockfish","Rockfish","Tiger Rockfish","Marine"
"45","Fish","Non-Salmon Fish","Rockfish","Rockfish","China Rockfish","Marine"
"46","Fish","Non-Salmon Fish","Rockfish","Rockfish","Northern Rockfish","Marine"
"47","Fish","Non-Salmon Fish","Rockfish","Rockfish","Boccaccio Rockfish","Marine"
"48","Fish","Non-Salmon Fish","Rockfish","Rockfish","Unknown Rockfish","Marine"
"49","Fish","Non-Salmon Fish","Sablefish","Sablefish","Sablefish (black cod)","Marine"
"50","Fish","Non-Salmon Fish","Sculpin","Irish Lord","Unknown Irish Lord","Marine"
"51","Fish","Non-Salmon Fish","Sculpin","Sculpin","Unknown Sculpin","Marine"
"52","Fish","Non-Salmon Fish","Shark","Shark","Salmon Shark","Marine"
"53","Fish","Non-Salmon Fish","Shark","Shark","Unknown Shark","Marine"
"54","Fish","Non-Salmon Fish","Skates","Skates","Skates","Marine"
"55","Fish","Non-Salmon Fish","Sole","Sole","Unknown Sole","Marine"
"56","Fish","Non-Salmon Fish","Tuna_Mackerel","Tuna_Mackerel","Mackerel","Marine"
"57","Fish","Non-Salmon Fish","Tuna_Mackerel","Tuna_Mackerel","Unknown Tuna/Mackerel","Marine"
"58","Fish","Non-Salmon Fish","Wolffish","Wolffish","Wolffish","Marine"
"59","Fish","Non-Salmon Fish","Burbot","Burbot","Burbot","Freshwater_Anadromous"
"60","Fish","Non-Salmon Fish","Char","Char","Arctic Char","Freshwater_Anadromous"
"61","Fish","Non-Salmon Fish","Char","Char","Dolly Varden","Freshwater_Anadromous"
"62","Fish","Non-Salmon Fish","Char","Char","Lake Trout","Freshwater_Anadromous"
"63","Fish","Non-Salmon Fish","Grayling","Grayling","Grayling","Marine"
"64","Fish","Non-Salmon Fish","Pike","Pike","Unknown Pike","Freshwater_Anadromous"
"65","Fish","Non-Salmon Fish","Pike","Pike","Northern Pike","Freshwater_Anadromous"
"66","Fish","Non-Salmon Fish","Sturgeon","Sturgeon","Unknown Sturgeon","Freshwater_Anadromous"
"67","Fish","Non-Salmon Fish","Trout","Trout","Cutthroat Trout","Freshwater_Anadromous"
"68","Fish","Non-Salmon Fish","Trout","Trout","Rainbow Trout","Freshwater_Anadromous"
"69","Fish","Non-Salmon Fish","Trout","Trout","Steelhead","Freshwater_Anadromous"
"70","Fish","Non-Salmon Fish","Trout","Trout","Unknown Trout","Freshwater_Anadromous"
"71","Fish","Non-Salmon Fish","Whitefish","Whitefish","Humpback Whitefish","Freshwater_Anadromous"
"72","Fish","Non-Salmon Fish","Whitefish","Whitefish","Unknown Whitefish","Freshwater_Anadromous"
"73","Fish","Non-Salmon Fish","Unknown Non-Salmon Fish","Unknown Non-Salmon Fish","Unknown Non-Salmon Fish","Marine"
"74","Fish","Non-Salmon Fish","Smelt","Smelt","Capelin (grunion)","Freshwater_Anadromous"
"75","Fish","Non-Salmon Fish","Hexagrammidae","Hexagrammidae","Rock Greenling","Marine"
"76","Fish","Non-Salmon Fish","Rockfish","Rockfish","Copper Rockfish","Marine"
"77","Fish","Non-Salmon Fish","Rockfish","Rockfish","Rougheye Rockfish","Marine"
"78","Fish","Non-Salmon Fish","Whitefish","Whitefish","Lake Whitefish","Freshwater_Anadromous"
"79","Land Mammals","Small Land Mammals","Fox","Fox","Fox","Terrestrial"
"80","Land Mammals","Small Land Mammals","Squirrel","Squirrel","Squirrel","Terrestrial"
"81","Land Mammals","Small Land Mammals","Hare","Hare","Hare","Terrestrial"
"82","Land Mammals","Large Land Mammals","Bison","Bison","Bison","Terrestrial"
"83","Land Mammals","Large Land Mammals","Black Bear","Black Bear","Black Bear","Terrestrial"
"84","Land Mammals","Large Land Mammals","Brown Bear","Brown Bear","Brown Bear","Terrestrial"
"85","Land Mammals","Large Land Mammals","Caribou","Caribou","Caribou","Terrestrial"
"86","Land Mammals","Large Land Mammals","Deer","Deer","Deer","Terrestrial"
"87","Land Mammals","Large Land Mammals","Elk","Elk","Elk","Terrestrial"
"88","Land Mammals","Large Land Mammals","Goat","Goat","Goat","Terrestrial"
"89","Land Mammals","Large Land Mammals","Moose","Moose","Moose","Terrestrial"
"90","Land Mammals","Large Land Mammals","Dall Sheep","Dall Sheep","Dall Sheep","Terrestrial"
"91","Land Mammals","Small Land Mammals","Beaver","Beaver","Beaver","Terrestrial"
"92","Land Mammals","Small Land Mammals","Coyote","Coyote","Coyote","Terrestrial"
"93","Land Mammals","Small Land Mammals","Fox","Fox","Red Fox","Terrestrial"
"94","Land Mammals","Small Land Mammals","Hare","Hare","Snowshoe Hare","Terrestrial"
"95","Land Mammals","Small Land Mammals","Hare","Hare","Unknown Hare","Terrestrial"
"96","Land Mammals","Small Land Mammals","Land Otter","Land Otter","Land Otter","Terrestrial"
"97","Land Mammals","Small Land Mammals","Lynx","Lynx","Lynx","Terrestrial"
"98","Land Mammals","Small Land Mammals","Marmot","Marmot","Marmot","Terrestrial"
"99","Land Mammals","Small Land Mammals","Marten","Marten","Marten","Terrestrial"
"100","Land Mammals","Small Land Mammals","Mink","Mink","Mink","Terrestrial"
"101","Land Mammals","Small Land Mammals","Muskrat","Muskrat","Muskrat","Terrestrial"
"102","Land Mammals","Small Land Mammals","Porcupine","Porcupine","Porcupine","Terrestrial"
"103","Land Mammals","Small Land Mammals","Squirrel","Squirrel","Parka Squirrel (ground)","Terrestrial"
"104","Land Mammals","Small Land Mammals","Squirrel","Squirrel","Tree Squirrel","Terrestrial"
