"","Project_Name","Site_Year_Code","Site","Year","Habitat","Taxa_lvl1","Taxa_lvl2","Taxa_lvl3","Taxa_lvl4","Taxa_lvl5","Resource_Code","Resource_Name","Percent_Using","Percent_Attempting_to_Harvest","Percent_Harvesting","Percent_Receiving","Percent_Giving","Reported_Pounds_Harvested","Estimated_Total_Pounds_Harvested","Lower_Pounds_Harvested","Upper_Pounds_Harvested","Mean_Pounds_Per_Household","Percapita_Pounds_Harvested","Conversion_Units_To_Pounds","Resource_Harvest_Units","Number_Of_Resource_Harvested","Estimated_Amount_Harvested","Mean_Grams_Per_Capita_Use","Mean_Pounds_Per_Capita_Use","Mean_Grams_Percapita_Harvest"
"11","Marine Mammals 2000","Angoon_2000","Angoon","2000","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,5372.5,5480,4985,5975,NA,NA,56,"Ind.",63,64,NA,NA,NA
"12","Marine Mammals 2001","Angoon_2001","Angoon","2001","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,6940.5,7279,6143,8415,NA,NA,56,"Ind.",81,85,NA,NA,NA
"13","Marine Mammals 2002","Angoon_2002","Angoon","2002","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,5806.5,6304,NA,NA,NA,NA,56,"Ind.",67,73,NA,NA,NA
"14","Marine Mammals 2003","Angoon_2003","Angoon","2003","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,4203.5,4713,NA,NA,NA,NA,56,"Ind.",49,55,NA,NA,NA
"15","Marine Mammals 2004","Angoon_2004","Angoon","2004","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,3867.5,4071,NA,NA,NA,NA,56,"Ind.",45,47,NA,NA,NA
"16","Marine Mammals 2005","Angoon_2005","Angoon","2005","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,4742.5,4871,4742,5449,NA,NA,56,"Ind.",56,58,NA,NA,NA
"17","Marine Mammals 2006","Angoon_2006","Angoon","2006","Marine","Marine Mammals","Marine Mammals","Seal","Seal","Harbor Seal","300806000","Harbor Seal",NA,NA,NA,NA,NA,3955,3955,3955,3955,NA,NA,56,"Ind.",46,46,NA,NA,NA
"18","Marine Mammals 1995","Angoon_1995","Angoon","1995","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"19","Marine Mammals 1996","Angoon_1996","Angoon","1996","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
"20","Marine Mammals 1997","Angoon_1997","Angoon","1997","Marine","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","301200000","Steller Sea Lion",NA,NA,NA,NA,NA,0,0,0,0,NA,NA,200,"Ind.",0,0,NA,NA,NA
