"","Project_Name","Site_Year_Code","Habitat","Taxa_lvl1","Taxa_lvl2","Taxa_lvl3","Taxa_lvl4","Taxa_lvl5","Resource_Code","Resource_Name","Sampled_households","Est_Num_Community_Households","Sampled_Population","Est_Comm_Population","Most_Rep_Year","Conversion_Units_To_Pounds","Resource_Harvest_Units","Percent_Using","Percent_Attempting_to_Harvest","Percent_Harvesting","Percent_Receiving","Percent_Giving","Reported_Pounds_Harvested","Estimated_Total_Pounds_Harvested","Lower_Pounds_Harvested","Upper_Pounds_Harvested","Mean_Pounds_Per_Household","Percapita_Pounds_Harvested","Number_Of_Resource_Harvested","Estimated_Amount_Harvested","Percent_Of_Total_Harvest","Mean_Grams_Per_Capita_Use","Mean_Pounds_Per_Capita_Use","Mean_Grams_Percapita_Harvest"
"1","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Oncorhynchus","Chum Salmon","111000000","Chum Salmon",24,32,48,64,"Yes",6.734,"Ind.",25,25,25,4.1,20.8,188.5,251.4,188.552,255.91168,7.8,3.9281666,28,37.3,0.8,0.19526325,0.15712667,4.8815813
"2","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Oncorhynchus","Coho Salmon","112000000","Coho Salmon",24,32,48,64,"Yes",5.1,"Ind.",70.8,41.6,41.6,37.5,50,1728.9,2305.2,1728.9,2349.491,72,36.01875,339,452,7.9,0.6319192,0.5085,44.760944
"3","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Oncorhynchus","Chinook Salmon","113000000","Chinook Salmon",24,32,48,64,"Yes",8.712,"Ind.",75,45.8,45.8,45.8,37.5,400.7,534.3,400.752,539.81177,16.6,8.349,46,61.3,1.8,0.13833873,0.11132,10.375405
"4","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Oncorhynchus","Pink Salmon","114000000","Pink Salmon",24,32,48,64,"Yes",2.555,"Ind.",8.3,8.3,8.3,0,8.3,25.5,34,25.55,34.965343,1,0.53229165,10,13.3,0.1,0.07937825,0.063875,0.66148543
"5","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Oncorhynchus","Sockeye Salmon","115000000","Sockeye Salmon",24,32,48,64,"Yes",4.292,"Ind.",100,54.1,54.1,75,66.6,12013.3,16017.7,12013.308,16330.295,500.5,250.27725,2799,3732,55.4,3.1102262,2.5027726,311.0226
"6","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Oncorhynchus","Salmon Roe","118000000","Salmon Roe",24,32,48,64,"Yes",7,"Gal.",4.1,0,0,4.1,4.1,0,0,0,0,0,0,0,0,0,0,0,0
"7","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Oncorhynchus","Unknown Salmon","119000000","Unknown Salmon",24,32,48,64,"Yes",5.0241337,"Ind.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"8","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Marine","Fish","Non-Salmon Fish","Herring","Herring","Herring","120200000","Herring",24,32,48,64,"Yes",6,"Gal.",4.1,0,0,4.1,4.1,0,0,0,0,0,0,0,0,0,0,0,0
"9","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Nearshore","Fish","Non-Salmon Fish","Herring","Herring Roe","Herring Roe","120302000","Herring Roe/Unspecified",24,32,48,64,"Yes",7,"Gal.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
"10","Chilkat Chinook Salmon Ethnography","Klukwan_2014","Nearshore","Fish","Non-Salmon Fish","Herring","Herring Roe","Herring Roe","120304000","Herring Sac Roe",24,32,48,64,"Yes",7,"Gal.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
