"","Forest","Site_Year_Code","Site","Year","richness","sw_diversity","evenness","avg","sd","sw_div_h","richness_h","evenness_h","evenness_h_log","sd_log"
"97","Tongass","Tenakee Springs_1987","Tenakee Springs","1987",29,2.25509867911093,0.669706136012405,25,14.7284610866494,1.25505688505349,4,0.905332172050112,-0.0994533616859083,2.68978175024745
"98","Tongass","Thorne Bay_1987","Thorne Bay","1987",33,2.4238885490642,0.693231319095901,25,10.0936150071042,1.32000840169712,4,0.952184787530097,-0.0489961584782005,2.31190304642432
"99","Tongass","Thorne Bay_1998","Thorne Bay","1998",41,2.66346603516318,0.71722481409306,25,12.7968923977399,1.27358023434195,4,0.918693944129665,-0.0848022435086723,2.54920236002282
"100","Tongass","Whale Pass_1987","Whale Pass","1987",27,2.41757251758722,0.733523112907628,25,9.38708807402946,1.33386748115149,4,0.962182000130156,-0.0385516568859875,2.23933513586431
"101","Tongass","Whale Pass_1998","Whale Pass","1998",21,2.12911313081303,0.699325813609407,25,13.0848560441336,1.27884513127351,4,0.922491764476644,-0.0806768305038965,2.57145553432691
"102","Tongass","Whale Pass_2012","Whale Pass","2012",25,2.18881930860281,0.67999495093677,25,12.7626290572724,1.27363322025574,4,0.918732165387202,-0.0847606404669566,2.54652129566472
"103","Tongass","Wrangell_1987","Wrangell","1987",37,2.7970841111062,0.774618581417139,25,9.17841893854458,1.33034046619293,4,0.959637796635223,-0.041199360885629,2.21685496088258
"104","Tongass","Wrangell_2000","Wrangell","2000",40,2.70173021431658,0.732398618042001,25,9.73625483101424,1.32931539090524,4,0.958898361118179,-0.0419701939509003,2.27585652944029
"105","Tongass","Yakutat_1984","Yakutat","1984",53,2.97169449260074,0.748482619743202,25,11.8541861064623,1.30441361537804,4,0.94093552708697,-0.0608806570607552,2.47268106312956
"106","Tongass","Yakutat_1987","Yakutat","1987",36,2.46493197636137,0.687852364866623,25,24.801935364273,1.05221383107867,4,0.75901183802599,-0.27573790483595,3.21092168900804
"107","Tongass","Yakutat_2000","Yakutat","2000",52,2.71319602922233,0.686668862379469,25,15.186709464377,1.24020727868351,4,0.894620445315547,-0.111355734102414,2.72042066801777
"108","Tongass","Yakutat_2015","Yakutat","2015",49,2.61939425138323,0.673051181899348,25,12.7119022857148,1.2704905359904,4,0.916465197884853,-0.0872311852713146,2.54253874242976
