"","Resource_Code","Resource_Name"
"247",410410001,"White-fronted Geese - Spring"
"248",410410002,"White-fronted Geese - Summer"
"249",410410003,"White-fronted Geese - Fall"
"250",410410004,"White-fronted Geese - Winter"
"251",410499000,"Unknown Geese"
"252",410499001,"Unknown Geese - Spring"
"253",410499002,"Unknown Geese - Summer"
"254",410499003,"Unknown Geese - Fall"
"255",410499004,"Unknown Geese - Winter"
"256",410600000,"Swan"
"257",410699000,"Unknown Swan"
"258",410699001,"Unknown Swan - Spring"
"259",410699002,"Unknown Swan - Summer"
"260",410699003,"Unknown Swan - Fall"
"261",410699004,"Unknown Swan - Winter"
"262",410800000,"Crane"
"263",410802000,"Sandhill Crane"
"264",410802001,"Sandhill Crane - Spring"
"265",410802002,"Sandhill Crane - Summer"
"266",410802003,"Sandhill Crane - Fall"
"267",410802004,"Sandhill Crane - Winter"
"268",4.11e+08,"Shorebirds"
"269",411004000,"Black Oystercatcher"
"270",411004001,"Black Oystercatcher - Spring"
"271",411004002,"Black Oystercatcher - Summer"
"272",411004003,"Black Oystercatcher - Fall"
"273",411004004,"Black Oystercatcher - Winter"
"274",411099000,"Unknown Shorebirds"
"275",411099010,"Unknown Shorebirds - Small"
"276",411099011,"Unknown Shorebirds - Small - Spring"
"277",411099012,"Unknown Shorebirds - Small - Summer"
"278",411099013,"Unknown Shorebirds - Small - Fall"
"279",411099014,"Unknown Shorebirds - Small - Winter"
"280",411099020,"Unknown Shorebirds - Large"
"281",411099021,"Unknown Shorebirds - Large - Spring"
"282",411099022,"Unknown Shorebirds - Large - Summer"
"283",411099023,"Unknown Shorebirds - Large - Fall"
"284",411099024,"Unknown Shorebirds - Large - Winter"
"285",411200000,"Seabirds & Loons"
"286",411216000,"Loons"
"287",411216990,"Unknown Loon"
"288",411216991,"Unknown Loon - Spring"
"289",411216992,"Unknown Loon - Summer"
"290",411216993,"Unknown Loon - Fall"
"291",411216994,"Unknown Loon - Winter"
"292",411299000,"Unknown Seabirds"
"293",411299001,"Unknown Seabirds - Spring"
"294",411299002,"Unknown Seabirds - Summer"
"295",411299003,"Unknown Seabirds - Fall"
"296",411299004,"Unknown Seabirds - Winter"
"297",4.2e+08,"Other Birds"
"298",421800000,"Upland Game Birds"
"299",421802000,"Grouse"
"300",421802001,"Grouse - Spring"
"301",421802002,"Grouse - Summer"
"302",421802003,"Grouse - Fall"
"303",421802004,"Grouse - Winter"
"304",421804000,"Ptarmigan"
"305",421804001,"Ptarmigan - Spring"
"306",421804002,"Ptarmigan - Summer"
"307",421804003,"Ptarmigan - Fall"
"308",421804004,"Ptarmigan - Winter"
"309",4.3e+08,"Bird Eggs"
"310",430200000,"Duck Eggs"
