gtinUPC,fdcID,publicationDate
9542041885,2298560,05/23/22
9542035501,2296620,05/23/22
9542042950,2300142,05/23/22
9542425449,2295824,05/23/22
9542043520,2328178,06/21/22
9542430184,2330194,06/21/22
9542438692,2300867,05/23/22
9800520046,2304247,05/23/22
985535,2305478,05/23/22
10276002851,2313219,05/23/22
10101007600,2300184,05/23/22
10300941170,2312059,05/23/22
10700015594,2326937,06/21/22
10700608208,2315302,05/23/22
10700858917,2306401,05/23/22
10878996206,2329677,06/21/22
10742041674,2314306,05/23/22
11110009289,2309023,05/23/22
11110030559,2298479,05/23/22
11110031716,2309521,05/23/22
11110038050,2296760,05/23/22
11110038074,2297835,05/23/22
11110028037,2301871,05/23/22
11110034977,2298027,05/23/22
11110041791,2308003,05/23/22
11110083555,2311529,05/23/22
11110084446,2310134,05/23/22
11110088284,2306501,05/23/22
11110098443,2298760,05/23/22
11110092700,2312664,05/23/22
11110100054,2301620,05/23/22
11110100092,2306741,05/23/22
11110100597,2313982,05/23/22
11110104427,2296233,05/23/22
11110104458,2296235,05/23/22
11110099433,2313983,05/23/22
11110182463,2302610,05/23/22
11110221131,2307615,05/23/22
11110221391,2295290,05/23/22
11110223098,2304028,05/23/22
11110611383,2296470,05/23/22
11110603173,2313981,05/23/22
11110786333,2302710,05/23/22
11110732934,2301628,05/23/22
11110787521,2316740,05/23/22
11110818287,2296380,05/23/22
11110823380,2296377,05/23/22
11110848444,2296370,05/23/22
11110867889,2296560,05/23/22
11110890542,2315901,05/23/22
11141106391,2309285,05/23/22
11150041416,2314560,05/23/22
11150294539,2315963,05/23/22
11152116556,2298986,05/23/22
11152421230,2299230,05/23/22
11153243282,2307926,05/23/22
11156059460,2297446,05/23/22
11161404095,2301483,05/23/22
11194323837,2314217,05/23/22
11210006225,2310322,05/23/22
11210009127,2297625,05/23/22
11210009165,2297722,05/23/22
11210001329,2297768,05/23/22
11225026973,2301942,05/23/22
11233077318,2315066,05/23/22
11233490131,2299652,05/23/22
11246001010,2316784,05/23/22
11246513537,2313454,05/23/22
11251012155,2307598,05/23/22
11261235032,2313186,05/23/22
11261239078,2310017,05/23/22
11261255030,2310532,05/23/22
11284003069,2300917,05/23/22
11284003465,2316653,05/23/22
11300630705,2302206,05/23/22
11300741586,2314055,05/23/22
11433031233,2302476,05/23/22
11433119689,2307479,05/23/22
11433135696,2307480,05/23/22
11594279239,2301565,05/23/22
11822237529,2309584,05/23/22
11658851050,2314687,05/23/22
11822999724,2310735,05/23/22
11822984881,2308681,05/23/22
12700157168,2297429,05/23/22
13000000291,986949,06/26/20
13000001137,977287,06/26/20
13000001700,977851,06/26/20
13000003469,1006925,06/26/20
13000004671,1007955,06/26/20
13000009553,976955,06/26/20
13000798204,977253,06/26/20
13087254402,2312275,05/23/22
13253955768,2303862,05/23/22
13300640012,2305846,05/23/22
13300513019,2315537,05/23/22
13300601600,2325521,06/21/22
13300606469,2329820,06/21/22
13300601204,2329926,06/21/22
13300710050,2312382,05/23/22
13300606490,2304634,05/23/22
13300764602,2301624,05/23/22
13300929582,2300060,05/23/22
13300929384,2306603,05/23/22
13400022862,2314263,05/23/22
13636022687,2310467,05/23/22
13800135209,2297274,05/23/22
13764028456,2306682,05/23/22
13800174000,2297839,05/23/22
13800156426,2297387,05/23/22
13800315519,2297428,05/23/22
13800373076,2315142,05/23/22
13900100053,2302278,05/23/22
13964063110,2311141,05/23/22
13800556653,2297659,05/23/22
13964943177,2316690,05/23/22
13971003628,2330026,06/21/22
14113700375,2297664,05/23/22
14113910330,2312992,05/23/22
14113910187,2298823,05/23/22
14200084449,2326880,06/21/22
14200202447,2308077,05/23/22
14200245512,2312340,05/23/22
14200248872,2302121,05/23/22
14500000262,2312837,05/23/22
14321671511,2302148,05/23/22
14500001900,2310605,05/23/22
14500014429,2295685,05/23/22
14500011619,2313886,05/23/22
14500017307,2313255,05/23/22
14500020994,2303898,05/23/22
14500022837,2309476,05/23/22
14500023452,2297342,05/23/22
14500111272,2321080,06/21/22
14800210866,2315569,05/23/22
15166001440,2314643,05/23/22
15229411612,2304062,05/23/22
15292775215,2295332,05/23/22
15414541216,1189757,02/26/21
15418007909,2316020,05/23/22
15418012026,2295271,05/23/22
15418013023,2295269,05/23/22
15418014303,2308750,05/23/22
15418015461,2295208,05/23/22
15532100838,2315842,05/23/22
15585002868,2316714,05/23/22
15800030546,2315546,05/23/22
15800070863,2297811,05/23/22
15878509135,2311449,05/23/22
15900061310,2297323,05/23/22
15900064229,2297322,05/23/22
15900066261,2298137,05/23/22
15900066346,2296838,05/23/22
15953703229,2295210,05/23/22
15953707227,2303219,05/23/22
15984372197,2306803,05/23/22
15984529416,2304251,05/23/22
16073216019,2300431,05/23/22
16291441446,2302622,05/23/22
16291441606,2302623,05/23/22
16291441477,2302620,05/23/22
16291442528,2302621,05/23/22
16291442160,2302624,05/23/22
16300110035,2304209,05/23/22
16300169248,2305741,05/23/22
16600325023,2315545,05/23/22
16741000407,2298353,05/23/22
16741000346,2313770,05/23/22
17082000408,2314121,05/23/22
17082877499,2302832,05/23/22
17082877406,2313220,05/23/22
17082877390,2315544,05/23/22
17082884039,2301825,05/23/22
17077623322,2303180,05/23/22
17324003372,2296252,05/23/22
17324183586,2296220,05/23/22
17324003075,2296218,05/23/22
17400122164,2300178,05/23/22
17749000246,2302795,05/23/22
17869804632,2297638,05/23/22
17873705505,2296575,05/23/22
18169433003,2297976,05/23/22
18169663653,2301463,05/23/22
18169165072,2314569,05/23/22
18200259579,2313835,05/23/22
18267031729,2314828,05/23/22
18482060115,2311357,05/23/22
18482061754,2304387,05/23/22
18627108863,2304405,05/23/22
18627109365,2309772,05/23/22
18627109457,2310598,05/23/22
18627100560,2309379,05/23/22
18627001164,2309381,05/23/22
18700003146,2309898,05/23/22
18787505694,2307692,05/23/22
18791260138,2296124,05/23/22
18804054822,2311053,05/23/22
18804055423,2301364,05/23/22
18894141846,2301698,05/23/22
18894214649,2297843,05/23/22
18894217411,2299097,05/23/22
18894217442,2305111,05/23/22
18894235750,2314528,05/23/22
18894250845,2316162,05/23/22
18894251491,2315972,05/23/22
18894217725,2296125,05/23/22
18894218098,2301129,05/23/22
18894272236,2298837,05/23/22
18894323648,2313396,05/23/22
18894809470,2316161,05/23/22
18894906636,2300198,05/23/22
18894906056,2311207,05/23/22
18894906650,2295874,05/23/22
18944000529,2300351,05/23/22
18959753311,2316488,05/23/22
18959754813,2313713,05/23/22
19061490064,2295767,05/23/22
19061490088,2301711,05/23/22
19061490132,2301712,05/23/22
19061490330,2303609,05/23/22
19061491740,2301934,05/23/22
19064010399,2308987,05/23/22
19244608019,2303116,05/23/22
19244738198,2303118,05/23/22
19646840802,2311405,05/23/22
19694113057,2310733,05/23/22
19646007601,2300188,05/23/22
19959008135,2314748,05/23/22
19959069693,2315960,05/23/22
19962002670,2296137,05/23/22
19962004377,2297699,05/23/22
19962217333,2296015,05/23/22
19962325311,2302614,05/23/22
19962942631,2295785,05/23/22
20038511620,2300187,05/23/22
20138330053,2308307,05/23/22
20138138154,2305483,05/23/22
20138135573,2312362,05/23/22
20323803508,2295781,05/23/22
20401073878,2311724,05/23/22
20439047100,2311455,05/23/22
20505002149,2312029,05/23/22
20505101088,2308242,05/23/22
20526030435,2305995,05/23/22
20526131187,2307756,05/23/22
20526131194,2307755,05/23/22
20526080515,2312014,05/23/22
20526077218,2302926,05/23/22
20526132856,2310872,05/23/22
20526783010,2310526,05/23/22
20526783720,2309330,05/23/22
20526783256,2304236,05/23/22
20526132924,2313419,05/23/22
20526783508,2310529,05/23/22
20539506606,2299160,05/23/22
20526132887,2298061,05/23/22
20601002005,2304761,05/23/22
20601408746,2313293,05/23/22
20601410220,2304759,05/23/22
20601411241,2310397,05/23/22
20601411562,2308163,05/23/22
20601413832,2313509,05/23/22
20601413887,2314393,05/23/22
20601412828,2309110,05/23/22
20601415003,2330493,06/21/22
20601417328,2313508,05/23/22
20601418912,2304757,05/23/22
20601418431,2309837,05/23/22
20601418578,2307791,05/23/22
20601419469,2308130,05/23/22
20685003141,2304507,05/23/22
20685003165,2304517,05/23/22
20685003332,2304521,05/23/22
20685003196,2304501,05/23/22
20700007529,2304450,05/23/22
20709220172,2310672,05/23/22
20700402065,2301326,05/23/22
20709012562,2308792,05/23/22
20735092965,2313696,05/23/22
20735096574,2297796,05/23/22
20735161180,2310695,05/23/22
20735160633,2300173,05/23/22
20826333182,2316329,05/23/22
20735113035,2311140,05/23/22
21000007523,963249,06/26/20
21000000883,977649,06/26/20
21000038251,989593,06/26/20
21000049196,963359,06/26/20
21000052349,976913,06/26/20
21000074068,1027575,06/26/20
21000644537,976793,06/26/20
21000301676,953453,06/26/20
21000616893,1003143,06/26/20
21100025113,2315543,05/23/22
21130008155,2307815,05/23/22
21130007158,2302746,05/23/22
21130008124,2329960,06/21/22
21130008988,2307525,05/23/22
21130008384,2307811,05/23/22
21130047147,2315080,05/23/22
21130048830,2306540,05/23/22
21130067206,2305724,05/23/22
21130068463,2301021,05/23/22
21130070107,2296421,05/23/22
21130075089,2302595,05/23/22
21130075256,2330370,06/21/22
21130081929,2308389,05/23/22
21130085552,2307333,05/23/22
21130084180,2302859,05/23/22
21130084111,2315097,05/23/22
21130084906,2307504,05/23/22
21130092017,2330630,06/21/22
21130094073,2329407,06/21/22
21130092185,2303777,05/23/22
21130098606,2303668,05/23/22
21130099092,2314302,05/23/22
21130104376,2316540,05/23/22
21130101214,2307798,05/23/22
21130113675,2305550,05/23/22
21130114658,2302292,05/23/22
21130115143,2322989,06/21/22
21130119356,2302981,05/23/22
21130119462,2306151,05/23/22
21130119660,2302576,05/23/22
21130119967,2302745,05/23/22
21130120970,2306239,05/23/22
21130125685,2304325,05/23/22
21130125661,2304007,05/23/22
21130133215,2307749,05/23/22
21130133826,2307953,05/23/22
21130130191,2330433,06/21/22
21130132454,2330315,06/21/22
21130139286,2305364,05/23/22
21130139316,2329356,06/21/22
21130136834,2308236,05/23/22
21130133338,2313895,05/23/22
21130137282,2309681,05/23/22
21130145867,2308386,05/23/22
21130142279,2312031,05/23/22
21130147700,2329657,06/21/22
21130149759,2308692,05/23/22
21130158669,2297222,05/23/22
2113015986,2313251,05/23/22
21130156566,2308529,05/23/22
21130161256,2311172,05/23/22
21130162932,2310390,05/23/22
21130175130,2330738,06/21/22
21130175147,2330739,06/21/22
21130175154,2330735,06/21/22
21130182534,2330707,06/21/22
21130184545,2306335,05/23/22
21130187140,2305582,05/23/22
21130188109,2305579,05/23/22
21130188116,2306285,05/23/22
21130188123,2305577,05/23/22
21130188147,2303784,05/23/22
21130188154,2303040,05/23/22
21130188703,2303004,05/23/22
21130188727,2302411,05/23/22
21130190751,2296423,05/23/22
21130191475,2304763,05/23/22
21130187065,2308258,05/23/22
21130198313,2306046,05/23/22
21130204526,2329338,06/21/22
21130207251,2308346,05/23/22
21130208142,2298542,05/23/22
21130233427,2310726,05/23/22
21130241989,2307813,05/23/22
21130250813,2307416,05/23/22
21130250950,2330636,06/21/22
21130252299,2301459,05/23/22
21130256105,2314491,05/23/22
21130253005,2305890,05/23/22
21130266142,2310585,05/23/22
21130283637,2303929,05/23/22
21130285198,2300706,05/23/22
21130285846,2303928,05/23/22
21130293155,2309453,05/23/22
21130294725,2313667,05/23/22
21130308415,2297220,05/23/22
21130309054,2305108,05/23/22
21130320202,2295967,05/23/22
21130327225,2308245,05/23/22
21130333219,2307334,05/23/22
21130326143,2307419,05/23/22
21130382392,2301514,05/23/22
21130434725,2305551,05/23/22
21130461479,2308167,05/23/22
21130473069,2300314,05/23/22
21130477326,2306923,05/23/22
21130466542,2310583,05/23/22
21130465286,2300323,05/23/22
21130480876,2308758,05/23/22
21130493456,2307495,05/23/22
21130493630,2302520,05/23/22
21130479443,2307767,05/23/22
21130494606,2306838,05/23/22
21130494620,2307493,05/23/22
21130501830,2310581,05/23/22
21130505982,2305894,05/23/22
21130520404,2307639,05/23/22
21130520794,2300239,05/23/22
21130600540,2299649,05/23/22
21130771943,2300992,05/23/22
21130984695,2302723,05/23/22
21131905576,2309305,05/23/22
21140033345,2301689,05/23/22
21140033383,2302873,05/23/22
21140035325,2328924,06/21/22
21333030038,2302636,05/23/22
21333090018,2303865,05/23/22
21333090056,2308355,05/23/22
21333090148,2310151,05/23/22
21333090292,2308353,05/23/22
21333090568,2313289,05/23/22
21333222280,2298520,05/23/22
21333224321,2310014,05/23/22
21333225083,2308933,05/23/22
21333401098,2300688,05/23/22
21333401159,2313824,05/23/22
21333410526,2313181,05/23/22
21333991902,2329019,06/21/22
21500010368,2298011,05/23/22
21500012171,2299868,05/23/22
21500013062,2297297,05/23/22
21500013093,2297298,05/23/22
21463199568,2305428,05/23/22
21500042178,2299860,05/23/22
21500048002,2308066,05/23/22
21500013574,2322097,06/21/22
21500209007,2299876,05/23/22
2155239,2329745,06/21/22
21739151221,2303019,05/23/22
21908106830,2312525,05/23/22
21908112589,2308929,05/23/22
21908115467,2310138,05/23/22
21908115399,2310143,05/23/22
21908116822,2312101,05/23/22
21908120423,2309562,05/23/22
21908115412,2308522,05/23/22
21985220290,2301410,05/23/22
22000014818,2300553,05/23/22
22000021816,2302254,05/23/22
22000022592,2300979,05/23/22
22000022837,2321048,06/21/22
22000020598,2316089,05/23/22
22000104298,2300750,05/23/22
22000073815,2301678,05/23/22
22000280879,2299051,05/23/22
22000279705,2299039,05/23/22
22000280329,2299050,05/23/22
22000127518,2298545,05/23/22
22000288844,2329644,06/21/22
22000290373,2304144,05/23/22
22000290502,2298941,05/23/22
22000290557,2305618,05/23/22
22000285942,2310944,05/23/22
22000287908,2307982,05/23/22
22174016021,2297294,05/23/22
22174020325,2316431,05/23/22
22224672214,2305904,05/23/22
22332337043,2315719,05/23/22
22506135604,2314861,05/23/22
22506002050,2323651,06/21/22
22592008547,2299671,05/23/22
22607633269,2313961,05/23/22
22592446998,2314610,05/23/22
22655701866,2297632,05/23/22
22655722717,2297739,05/23/22
22775339369,2303693,05/23/22
22878802012,2301542,05/23/22
22929429854,2304873,05/23/22
23000271195,2297167,05/23/22
23000271201,2299168,05/23/22
23000271218,2296431,05/23/22
23000271300,2314104,05/23/22
23000271317,2307962,05/23/22
23000439250,2296848,05/23/22
22961009397,2297406,05/23/22
23012929855,2303565,05/23/22
23012929879,2306324,05/23/22
23012931537,2303417,05/23/22
23198110085,2310527,05/23/22
23200000274,2297528,05/23/22
23000966053,2309081,05/23/22
23000966350,2314248,05/23/22
23300401582,2301683,05/23/22
23545700785,2297408,05/23/22
23545700822,2309477,05/23/22
23545402368,2307305,05/23/22
2362732055,2300599,05/23/22
23627320702,2300639,05/23/22
23627320764,2300656,05/23/22
2362736217,2300597,05/23/22
2362738011,2300637,05/23/22
2362736218,2300598,05/23/22
2362755121,2300638,05/23/22
23637411964,2301691,05/23/22
23637492680,2301924,05/23/22
23872001807,2305939,05/23/22
23872002019,2305436,05/23/22
23700545374,2306757,05/23/22
23709381218,2303410,05/23/22
23907895333,2315535,05/23/22
23923206854,2314800,05/23/22
23923206533,2314679,05/23/22
23896800189,2322363,06/21/22
23923334984,2305670,05/23/22
23926110257,2330622,06/21/22
23923206335,2314678,05/23/22
23933302430,2305974,05/23/22
23933302461,2301079,05/23/22
23933300825,2301996,05/23/22
23933450728,2309141,05/23/22
23933676654,2302426,05/23/22
23933677347,2302164,05/23/22
23933678528,2302416,05/23/22
23968382629,2302083,05/23/22
23933677163,2303936,05/23/22
23968382599,2302084,05/23/22
23991251015,662186,12/06/19
24000120186,2297812,05/23/22
24000132158,2297309,05/23/22
24000167174,2297373,05/23/22
24000167198,2314562,05/23/22
24000248842,2299541,05/23/22
24000248958,2299229,05/23/22
24000249146,2299067,05/23/22
24000250005,2329140,06/21/22
24000250029,2321774,06/21/22
24000250036,2329626,06/21/22
24000252702,2309022,05/23/22
24000244844,2316765,05/23/22
24000348061,2324439,06/21/22
24000253938,2309064,05/23/22
24000253914,2309065,05/23/22
24000550822,2297520,05/23/22
24100110513,2304401,05/23/22
24100000845,2309365,05/23/22
24100117901,2323546,06/21/22
24100114252,2323927,06/21/22
24100115549,2312844,05/23/22
24100440856,2301316,05/23/22
24126018329,2301636,05/23/22
24300012334,2328303,06/21/22
24300031625,2299388,05/23/22
24300041020,2302894,05/23/22
24300041051,2299384,05/23/22
24300041563,2299386,05/23/22
24300041662,2299387,05/23/22
24300044786,2299363,05/23/22
24300044885,2299365,05/23/22
24300045004,2299364,05/23/22
24300761195,2302709,05/23/22
24300808913,2311415,05/23/22
24600010412,2297655,05/23/22
24622511188,2303991,05/23/22
24732248653,2304612,05/23/22
24842982447,2297679,05/23/22
25000048012,2326255,06/21/22
25000100536,2314710,05/23/22
25072001014,2306215,05/23/22
25317161916,2308030,05/23/22
25317161947,2310534,05/23/22
25317172349,2330471,06/21/22
25317236676,2310175,05/23/22
25537200020,2296087,05/23/22
25537999054,2308694,05/23/22
25555993850,2315784,05/23/22
25583111165,2299973,05/23/22
25583111172,2300117,05/23/22
25600002230,2297810,05/23/22
25675010079,2297423,05/23/22
25675013261,2299520,05/23/22
25675031272,2299170,05/23/22
25675121027,2300039,05/23/22
25675121096,2299144,05/23/22
25675123021,2312627,05/23/22
25675015258,2307069,05/23/22
25675015289,2304805,05/23/22
25753028781,2316430,05/23/22
25675124844,2299143,05/23/22
26200391953,980117,06/26/20
26200392950,980137,06/26/20
26400440178,2297792,05/23/22
26400409182,2297808,05/23/22
26542013490,2302480,05/23/22
26542059184,2302573,05/23/22
26542120662,2302574,05/23/22
26700129049,2296058,05/23/22
26700174261,2308354,05/23/22
26825000148,2302803,05/23/22
26825008533,2315542,05/23/22
26825009486,2315541,05/23/22
26875102281,2307131,05/23/22
26875124115,2298163,05/23/22
26875131892,2309136,05/23/22
26883223022,2147236,10/28/21
27000000922,2307185,05/23/22
27000520079,2301293,05/23/22
27182547888,2308434,05/23/22
27164325299,2301464,05/23/22
27271121333,2295839,05/23/22
27271121326,2295838,05/23/22
27271121395,2295835,05/23/22
27568009009,2299104,05/23/22
27568033721,2296104,05/23/22
27568021551,2299108,05/23/22
27568020141,2299114,05/23/22
27568046752,2301653,05/23/22
27568046707,2301656,05/23/22
27568040507,2299272,05/23/22
27568010111,2300055,05/23/22
27568095286,2299416,05/23/22
27800053746,2311519,05/23/22
27800061567,2328644,06/21/22
27568095354,2299415,05/23/22
27568018049,2299326,05/23/22
27800163148,2310312,05/23/22
27800164794,2299017,05/23/22
27800067651,2311918,05/23/22
27800063493,2313180,05/23/22
27568095323,2300057,05/23/22
27568095224,2299336,05/23/22
27815001206,2297717,05/23/22
27815020023,2297916,05/23/22
27815411081,2297532,05/23/22
27815300248,2295928,05/23/22
28000165123,2297386,05/23/22
28000118532,2296779,05/23/22
28000131791,2296783,05/23/22
28000217600,2304414,05/23/22
28000449810,2296781,05/23/22
28000516017,2297751,05/23/22
28000517809,2315766,05/23/22
28000581749,2316263,05/23/22
28000666774,2315219,05/23/22
28099110011,2315317,05/23/22
28239004200,2310145,05/23/22
28293113016,2314868,05/23/22
28364202052,2313286,05/23/22
28364320084,2308746,05/23/22
28400331791,2324198,06/21/22
28500120691,2295567,05/23/22
28700110041,2316722,05/23/22
28700111703,2301283,05/23/22
28700161807,2310917,05/23/22
28700150535,2301297,05/23/22
28744720664,2298058,05/23/22
28800290629,2304299,05/23/22
28934007513,2305397,05/23/22
28989103062,2311360,05/23/22
28989103468,2310556,05/23/22
28989102874,2323628,06/21/22
28989104243,2304397,05/23/22
29000019454,2295944,05/23/22
29000021563,2296854,05/23/22
29000021730,2297997,05/23/22
29000020917,2297998,05/23/22
29000020511,2295230,05/23/22
28989103208,2309865,05/23/22
29000023789,2295228,05/23/22
29000023192,2295229,05/23/22
29000026117,2298246,05/23/22
29000027916,2309479,05/23/22
29000021457,2296853,05/23/22
29000076822,2316652,05/23/22
29000077041,2297511,05/23/22
29030001108,2300114,05/23/22
29126150871,2295284,05/23/22
29030003430,2305732,05/23/22
29341000227,2303589,05/23/22
29341001057,2307001,05/23/22
29341000838,2305465,05/23/22
29341007196,2296122,05/23/22
29599005746,2306371,05/23/22
29599001731,2303423,05/23/22
29700001483,2308183,05/23/22
29697010017,2303083,05/23/22
29714280034,2311970,05/23/22
29737210179,2300112,05/23/22
29839009862,2326692,06/21/22
29839700486,2311718,05/23/22
29839000258,2324272,06/21/22
30000036600,2300603,05/23/22
30000315385,2300996,05/23/22
30000314210,2296635,05/23/22
30000053508,2297034,05/23/22
30000311325,2328140,06/21/22
30000566237,2311413,05/23/22
30000566558,2296747,05/23/22
30000566817,2313344,05/23/22
30000562772,2316535,05/23/22
30000322147,2320369,06/21/22
30000568873,2330067,06/21/22
30000569665,2325375,06/21/22
30000570548,2325362,06/21/22
30000570982,2330065,06/21/22
30000572436,2329995,06/21/22
30000575093,2307200,05/23/22
30000574645,2308603,05/23/22
30000572818,2330204,06/21/22
30000573273,2312506,05/23/22
30000573662,2312509,05/23/22
30034005566,2304432,05/23/22
30034050504,2299433,05/23/22
3003405627,2314631,05/23/22
30034056780,2310389,05/23/22
30034076306,2315886,05/23/22
30034075736,2302181,05/23/22
30034084660,2304357,05/23/22
3003409507,2314550,05/23/22
30034103262,2307152,05/23/22
30034303914,2303951,05/23/22
30034912703,2307628,05/23/22
30034914981,2303957,05/23/22
30034919511,2300352,05/23/22
30034924751,2299240,05/23/22
30034923792,2300171,05/23/22
30034924157,2300644,05/23/22
30034930127,2300101,05/23/22
30034929794,2299879,05/23/22
30034932596,2298805,05/23/22
30034933951,2298721,05/23/22
30034930462,2303231,05/23/22
30034931797,2299299,05/23/22
30034937928,2295719,05/23/22
30034942601,2303564,05/23/22
30034944742,2307960,05/23/22
30034944964,2307957,05/23/22
30034943554,2307060,05/23/22
30034944254,2303092,05/23/22
30034943516,2307041,05/23/22
30034943844,2307048,05/23/22
30034943813,2307046,05/23/22
30034939564,2304594,05/23/22
30034943561,2307071,05/23/22
30034940423,2310098,05/23/22
30034944681,2313167,05/23/22
30034944704,2311921,05/23/22
30034943509,2307043,05/23/22
30034943820,2307045,05/23/22
30042003066,2302473,05/23/22
30100115533,2320150,06/21/22
30100121381,2311317,05/23/22
30100127338,2310594,05/23/22
30100124542,2325190,06/21/22
30100125594,2323637,06/21/22
30100211631,2325184,06/21/22
30100126584,2323530,06/21/22
30100123507,2311460,05/23/22
30100211501,2325183,06/21/22
30100473244,2323541,06/21/22
30100487180,2325170,06/21/22
30100126867,2320366,06/21/22
30100211471,2325181,06/21/22
30100120131,2311512,05/23/22
30100472414,2325175,06/21/22
30100350514,2300762,05/23/22
3012701,2300604,05/23/22
30100211679,2325182,06/21/22
30100120087,2323373,06/21/22
30100121008,2296771,05/23/22
30100121817,1394714,02/26/21
30100124948,2325185,06/21/22
30223019015,2316230,05/23/22
30223020868,2314513,05/23/22
30223028673,2313177,05/23/22
30223019091,2316317,05/23/22
30223111719,2308974,05/23/22
30223103240,2315959,05/23/22
30223109822,2298474,05/23/22
30243863100,2296687,05/23/22
30283000039,2311388,05/23/22
30283002132,2306557,05/23/22
30354538386,2297654,05/23/22
30283170275,2303587,05/23/22
3033306,2299781,05/23/22
30684189944,2296715,05/23/22
30467000022,2328075,06/21/22
30771019147,2309818,05/23/22
30771019376,2309819,05/23/22
30800000719,2300881,05/23/22
30800320008,2311231,05/23/22
30871302118,2312256,05/23/22
30800644005,2300926,05/23/22
30800633009,2304755,05/23/22
30800806007,2304751,05/23/22
30800811001,2304749,05/23/22
30800817003,2300927,05/23/22
30800804003,2304753,05/23/22
31142601619,2305432,05/23/22
31142785111,2301128,05/23/22
31146033324,2312919,05/23/22
31146055432,2303099,05/23/22
31146058105,2304454,05/23/22
31146156917,2304455,05/23/22
31200027801,2301932,05/23/22
31200200549,2301298,05/23/22
31200259240,2315299,05/23/22
31200281302,2314738,05/23/22
31290126262,2301404,05/23/22
31493023207,2316805,05/23/22
31290137848,2295724,05/23/22
32011590638,2295408,05/23/22
32100058223,2314647,05/23/22
32100201070,2296131,05/23/22
32134232224,2328981,06/21/22
32251014666,2300135,05/23/22
32251027611,2299617,05/23/22
32251050985,2299615,05/23/22
32251057922,2301946,05/23/22
32251141256,2299573,05/23/22
32251240232,2316641,05/23/22
32251143786,2316642,05/23/22
32251384905,2299530,05/23/22
32251495885,2299613,05/23/22
32251591006,2313452,05/23/22
32251638541,2295321,05/23/22
32251569043,2313504,05/23/22
32327028085,2300116,05/23/22
32327028214,2309253,05/23/22
32327028221,2310694,05/23/22
32251694790,2310922,05/23/22
3259129746,2310002,05/23/22
32727000100,2299423,05/23/22
32792000487,2303953,05/23/22
32792001743,2303954,05/23/22
32797004893,2301651,05/23/22
32913138747,2313966,05/23/22
32913022114,2315597,05/23/22
32913022138,2298208,05/23/22
33049104422,2316009,05/23/22
33314311227,2309347,05/23/22
33314300115,2299185,05/23/22
33255109228,2298053,05/23/22
33314310282,2298120,05/23/22
33136505064,2307865,05/23/22
33255109013,2298054,05/23/22
33400611477,2315883,05/23/22
33400721145,2297398,05/23/22
33589904506,2295536,05/23/22
33844005092,2304010,05/23/22
33844004026,2328209,06/21/22
33844005177,2304131,05/23/22
33844001865,2313796,05/23/22
33844000042,2301055,05/23/22
33844013028,2303803,05/23/22
33844013004,2303946,05/23/22
33907500014,2312269,05/23/22
3393133,2314442,05/23/22
