gtinUPC,fdcID,publicationDate
1234,1105921,4321
20735159,2301478,05/23/22
20176355674,1083107,09/29/20
28000990442,2295804,05/23/22
41143059418,2318760,06/21/22
41789902826,2305290,05/23/22
51000027252,2233777,04/01/22
51000143310,2319414,06/21/22
51000134585,2319593,06/21/22
51000164599,2318862,06/21/22
51000212801,2319476,06/21/22
51000232663,2319516,06/21/22
51000245045,2319376,06/21/22
51000252753,2318287,06/21/22
51000275585,2318979,06/21/22
51000275578,2319527,06/21/22
51000278531,2317818,06/21/22
51000279002,2317617,06/21/22
651319018,2315582,05/23/22
70919010377,2336664,09/15/22
70919011978,2336378,09/15/22
72940100812,1462467,03/19/21
72940126164,1462456,03/19/21
185043000061,2317773,06/21/22
613008738631,2296241,05/23/22
688339923193,2319122,06/21/22
688339923209,2319239,06/21/22
688339923940,2319311,06/21/22
7486130382,2297077,05/23/22
8006759106,2307290,05/23/22
810089290526,2319240,06/21/22
810089290557,2317879,06/21/22
8229101225,2296510,05/23/22
8346740536,2321714,06/21/22
846675012593,809734,05/01/20
846675012586,809634,05/01/20
846675003591,809370,05/01/20
846675012609,809426,05/01/20
846675007421,809790,05/01/20
846675004048,809890,05/01/20
846675004055,809668,05/01/20
846675004062,809240,05/01/20
846675001047,809472,05/01/20
846675001061,809468,05/01/20
846675003249,809816,05/01/20
846675001160,809322,05/01/20
846675010483,809724,05/01/20
846675001054,809474,05/01/20
846675007353,809390,05/01/20
846675007339,809310,05/01/20
846675007346,809464,05/01/20
846675002686,809572,05/01/20
846675001177,809522,05/01/20
846675013170,809738,05/01/20
846675012968,809422,05/01/20
846675012975,809590,05/01/20
846675013200,809626,05/01/20
846675003263,809386,05/01/20
846675003638,809520,05/01/20
846675001078,809710,05/01/20
846675007438,809560,05/01/20
846675012616,809264,05/01/20
858328204491,2234988,04/01/22
858584003203,614570,12/06/19
858584003388,614214,12/06/19
858584003401,614216,12/06/19
858584003012,614274,12/06/19
858584003111,614482,12/06/19
8577004827,2295606,05/23/22
890180001238,809238,05/01/20
890180001870,809282,05/01/20
906249,2316503,05/23/22
890180001245,809466,05/01/20
910370186634,2318578,06/21/22
9300000437,2297762,05/23/22
9069000211,2305269,05/23/22
9300000703,2297710,05/23/22
9300002974,2306646,05/23/22
9300003841,2297801,05/23/22
9300004060,2297724,05/23/22
9300005609,2327940,06/21/22
9300128148,2296006,05/23/22
9542425012,2300866,05/23/22
9542039332,2296014,05/23/22
