Forest,Site_Year_Code,Community,Harvest_Survey_Year,Habitat,Lowest_Common_Taxon_Name,Percapita_Pounds_Harvested_sum,Community_Population_2020,est_total_lbs_2020,est_total_kgs_2020,Group,Food Category,Cost_per_lb,total_cost_est_2020,total_cost_est_2020_mil,servings,servigs_percapita
Chugach,Whittier_1990,Whittier,1990,Marine,Tanner Crab,1.83,272,497.76,225.78,Offshore Crab,Crab,30.00,14932.30,0.01,1505.20,5.533826914
Chugach,Whittier_1990,Whittier,1990,Freshwater_Anadromous,Unknown Salmon,0.91,272,247.52,112.27,Salmon,Pacific Salmon,11.99,2967.76,0.00,748.49,2.751793711
Chugach,Whittier_1990,Whittier,1990,Terrestrial,Upland Game Birds,0.82,272,223.04,101.17,Birds/Eggs,Duck,16.00,3568.64,0.00,674.46,2.479638289
Chugach,Whittier_1990,Whittier,1990,Marine,Wolffish,0.13,272,35.36,16.04,Non-Halibut Fish,Halibut,27.99,989.61,0.00,106.93,0.393113387
Tongass,Angoon_2012,Angoon,2012,Terrestrial,Berries,9.30,357,3320.10,1505.97,Berries,Blueberries,8.96,29748.10,0.03,10039.81,28.12272694
Tongass,Angoon_2012,Angoon,2012,Freshwater_Anadromous,Chinook Salmon,9.60,357,3427.20,1554.55,Salmon,Pacific Salmon,11.99,41092.13,0.04,10363.68,29.02991168
Tongass,Angoon_2012,Angoon,2012,Nearshore,Chiton,7.80,357,2784.60,1263.07,Mollusc,Scallop,11.19,31159.67,0.03,8420.49,23.58680324
Tongass,Angoon_2012,Angoon,2012,Freshwater_Anadromous,Chum Salmon,1.30,357,464.10,210.51,Salmon,Pacific Salmon,11.99,5564.56,0.01,1403.41,3.931133873
Tongass,Angoon_2012,Angoon,2012,Nearshore,Clam,5.30,357,1892.10,858.24,Mollusc,Scallop,11.19,21172.60,0.02,5721.61,16.02693041
Tongass,Angoon_2012,Angoon,2012,Nearshore,Cockle,4.00,357,1428.00,647.73,Mollusc,Scallop,11.19,15979.32,0.02,4318.20,12.09579653
Tongass,Angoon_2012,Angoon,2012,Freshwater_Anadromous,Coho Salmon,12.50,357,4462.50,2024.16,Salmon,Pacific Salmon,11.99,53505.38,0.05,13494.37,37.79936417
Tongass,Angoon_2012,Angoon,2012,Terrestrial,Crane,0.10,357,35.70,16.19,Birds/Eggs,Duck,16.00,571.20,0.00,107.95,0.302394913
Tongass,Angoon_2012,Angoon,2012,Freshwater_Anadromous,Cutthroat Trout,0.10,357,35.70,16.19,Trout,Pacific Salmon,11.99,428.04,0.00,107.95,0.302394913
Tongass,Angoon_2012,Angoon,2012,Terrestrial,Deer,51.00,357,18207.00,8258.56,Deer,Venison,25.00,455138.59,0.46,55057.04,154.2214058
Tongass,Angoon_2012,Angoon,2012,Freshwater_Anadromous,Dolly Varden,0.60,357,214.20,97.16,Char,Pacific Salmon,11.99,2568.26,0.00,647.73,1.81436948
Tongass,Angoon_2012,Angoon,2012,Terrestrial,Duck,0.10,357,35.70,16.19,Birds/Eggs,Duck,16.00,571.20,0.00,107.95,0.302394913
Tongass,Angoon_2012,Angoon,2012,Nearshore,Dungeness Crab,3.30,357,1178.10,534.38,Nearshore Crab,Crab,30.00,35341.82,0.04,3562.51,9.97903214
Tongass,Angoon_2012,Angoon,2012,Marine,Gadiformes,2.00,357,714.00,323.86,Non-Halibut Fish,Pacific Cod,8.79,6276.06,0.01,2159.10,6.047898267
Tongass,Angoon_2012,Angoon,2012,Terrestrial,Geese,0.10,357,35.70,16.19,Birds/Eggs,Duck,16.00,571.20,0.00,107.95,0.302394913
Tongass,Angoon_2012,Angoon,2012,Marine,Halibut,32.00,357,11424.00,5181.84,Halibut,Halibut,27.99,319719.68,0.32,34545.59,96.76637227
Tongass,Angoon_2012,Angoon,2012,Marine,Herring,14.90,357,5319.30,2412.79,Non-Halibut Fish,Herring,9.32,49575.88,0.05,16085.29,45.05684209
Tongass,Angoon_2012,Angoon,2012,Marine,King Crab,0.80,357,285.60,129.55,Offshore Crab,Crab,30.00,8567.71,0.01,863.64,2.419159307
Tongass,Angoon_2012,Angoon,2012,Marine,Lingcod,0.40,357,142.80,64.77,Non-Halibut Fish,Pacific Cod,8.79,1255.21,0.00,431.82,1.209579653
Tongass,Angoon_2012,Angoon,2012,Nearshore,Mussel,0.10,357,35.70,16.19,Mollusc,Scallop,11.19,399.48,0.00,107.95,0.302394913
Tongass,Angoon_2012,Angoon,2012,Marine,Octopus,0.30,357,107.10,48.58,Marine Invertebrates,Octopus,32.38,3467.80,0.00,323.86,0.90718474
Tongass,Angoon_2012,Angoon,2012,Freshwater_Anadromous,Pink Salmon,1.20,357,428.40,194.32,Salmon,Pacific Salmon,11.99,5136.52,0.01,1295.46,3.62873896
Tongass,Angoon_2012,Angoon,2012,Terrestrial,Plants/Greens,0.30,357,107.10,48.58,Plants/Greens,Spinach,14.40,1542.24,0.00,323.86,0.90718474
Tongass,Angoon_2012,Angoon,2012,Marine,Rockfish,2.70,357,963.90,437.22,Non-Halibut Fish,Rockfish,8.79,8472.68,0.01,2914.78,8.16466266
Tongass,Angoon_2012,Angoon,2012,Marine,Sablefish (black cod),0.60,357,214.20,97.16,Non-Halibut Fish,Pacific Cod,8.79,1882.82,0.00,647.73,1.81436948
Tongass,Angoon_2012,Angoon,2012,Marine,Seal,5.30,357,1892.10,858.24,Marine Mammals,Halibut,27.99,52953.57,0.05,5721.61,16.02693041
Tongass,Angoon_2012,Angoon,2012,Nearshore,Seaweed/Kelp,3.10,357,1106.70,501.99,Seaweed/Kelp,Seaweed,130.88,144844.90,0.14,3346.60,9.374242313
Tongass,Angoon_2012,Angoon,2012,Marine,Shrimp,0.10,357,35.70,16.19,Marine Invertebrates,Shrimp,7.99,285.24,0.00,107.95,0.302394913
Tongass,Angoon_2012,Angoon,2012,Freshwater_Anadromous,Sockeye Salmon,12.50,357,4462.50,2024.16,Salmon,Pacific Salmon,11.99,53505.38,0.05,13494.37,37.79936417
Tongass,Angoon_2012,Angoon,2012,Marine,Tanner Crab,0.80,357,285.60,129.55,Offshore Crab,Crab,30.00,8567.71,0.01,863.64,2.419159307
Tongass,Coffman Cove_1998,Coffman Cove,1998,Nearshore,Abalone,0.02,127,2.54,1.15,Mollusc,Scallop,11.19,28.42,0.00,7.68,0.060478983
Tongass,Coffman Cove_1998,Coffman Cove,1998,Terrestrial,Beaver,0.18,127,22.86,10.37,Small Land Mammals,Venison,25.00,571.45,0.00,69.13,0.544310844
Tongass,Coffman Cove_1998,Coffman Cove,1998,Terrestrial,Berries,7.99,127,1014.73,460.27,Berries,Blueberries,8.96,9091.98,0.01,3068.49,24.16135358
Tongass,Coffman Cove_1998,Coffman Cove,1998,Terrestrial,Black Bear,4.08,127,518.16,235.03,Other Large Land Mammals,Bison,33.00,17098.24,0.02,1566.89,12.33771246
Tongass,Coffman Cove_1998,Coffman Cove,1998,Freshwater_Anadromous,Brook Trout,0.20,127,25.40,11.52,Char,Pacific Salmon,11.99,304.55,0.00,76.81,0.604789827
Tongass,Coffman Cove_1998,Coffman Cove,1998,Freshwater_Anadromous,Chinook Salmon,5.25,127,666.75,302.43,Salmon,Pacific Salmon,11.99,7994.33,0.01,2016.22,15.87573295
Tongass,Coffman Cove_1998,Coffman Cove,1998,Nearshore,Chiton,0.04,127,5.08,2.30,Mollusc,Scallop,11.19,56.85,0.00,15.36,0.120957965
Tongass,Coffman Cove_1998,Coffman Cove,1998,Freshwater_Anadromous,Chum Salmon,1.78,127,226.06,102.54,Salmon,Pacific Salmon,11.99,2710.46,0.00,683.59,5.382629457
Tongass,Coffman Cove_1998,Coffman Cove,1998,Nearshore,Clam,16.77,127,2129.79,966.06,Mollusc,Scallop,11.19,23832.35,0.02,6440.38,50.71162697
Tongass,Coffman Cove_1998,Coffman Cove,1998,Nearshore,Cockle,5.29,127,671.83,304.74,Mollusc,Scallop,11.19,7517.78,0.01,2031.58,15.99669092
Tongass,Coffman Cove_1998,Coffman Cove,1998,Freshwater_Anadromous,Coho Salmon,30.52,127,3876.04,1758.14,Salmon,Pacific Salmon,11.99,46473.72,0.05,11720.95,92.29092755
Tongass,Coffman Cove_1998,Coffman Cove,1998,Terrestrial,Crane,0.18,127,22.86,10.37,Birds/Eggs,Duck,16.00,365.76,0.00,69.13,0.544310844
Tongass,Coffman Cove_1998,Coffman Cove,1998,Freshwater_Anadromous,Cutthroat Trout,4.32,127,548.64,248.86,Trout,Pacific Salmon,11.99,6578.19,0.01,1659.06,13.06346026
Tongass,Coffman Cove_1998,Coffman Cove,1998,Terrestrial,Deer,54.65,127,6940.55,3148.18,Deer,Venison,25.00,173499.87,0.17,20987.87,165.2588201
Tongass,Coffman Cove_1998,Coffman Cove,1998,Freshwater_Anadromous,Dolly Varden,3.04,127,386.08,175.12,Char,Pacific Salmon,11.99,4629.10,0.00,1167.49,9.192805365
Tongass,Coffman Cove_1998,Coffman Cove,1998,Terrestrial,Duck,1.64,127,208.28,94.47,Birds/Eggs,Duck,16.00,3332.48,0.00,629.83,4.959276579
Tongass,Coffman Cove_1998,Coffman Cove,1998,Nearshore,Dungeness Crab,17.45,127,2216.15,1005.23,Nearshore Crab,Crab,30.00,66482.28,0.07,6701.52,52.76791238
Tongass,Coffman Cove_1998,Coffman Cove,1998,Terrestrial,Elk,1.58,127,200.66,91.02,Other Large Land Mammals,Venison,25.00,5016.10,0.01,606.79,4.777839631
Tongass,Coffman Cove_1998,Coffman Cove,1998,Marine,Flounder,0.17,127,21.59,9.79,Non-Halibut Fish,Halibut,27.99,604.23,0.00,65.29,0.514071353
Tongass,Coffman Cove_1998,Coffman Cove,1998,Marine,Gadiformes,2.01,127,255.27,115.79,Non-Halibut Fish,Pacific Cod,8.79,2243.82,0.00,771.92,6.078137758
Tongass,Coffman Cove_1998,Coffman Cove,1998,Terrestrial,Geese,0.48,127,60.96,27.65,Birds/Eggs,Duck,16.00,975.36,0.00,184.34,1.451495584
Tongass,Coffman Cove_1998,Coffman Cove,1998,Marine,Halibut,50.27,127,6384.29,2895.87,Halibut,Halibut,27.99,178675.00,0.18,19305.77,152.0139229
Tongass,Coffman Cove_1998,Coffman Cove,1998,Marine,Herring,0.39,127,49.53,22.47,Non-Halibut Fish,Herring,9.32,461.62,0.00,149.78,1.179340162
Tongass,Coffman Cove_1998,Coffman Cove,1998,Marine,King Crab,0.15,127,19.05,8.64,Offshore Crab,Crab,30.00,571.48,0.00,57.61,0.45359237
Tongass,Coffman Cove_1998,Coffman Cove,1998,Marine,Lingcod,1.29,127,163.83,74.31,Non-Halibut Fish,Pacific Cod,8.79,1440.07,0.00,495.41,3.900894382
Tongass,Coffman Cove_1998,Coffman Cove,1998,Terrestrial,Moose,5.63,127,715.01,324.32,Other Large Land Mammals,Venison,25.00,17873.82,0.02,2162.15,17.02483362
Tongass,Coffman Cove_1998,Coffman Cove,1998,Nearshore,Mussel,0.07,127,8.89,4.03,Mollusc,Scallop,11.19,99.48,0.00,26.88,0.211676439
Tongass,Coffman Cove_1998,Coffman Cove,1998,Marine,Octopus,2.12,127,269.24,122.13,Marine Invertebrates,Octopus,32.38,8717.73,0.01,814.17,6.410772163
Tongass,Coffman Cove_1998,Coffman Cove,1998,Freshwater_Anadromous,Pink Salmon,3.18,127,403.86,183.19,Salmon,Pacific Salmon,11.99,4842.28,0.00,1221.25,9.616158244
Tongass,Coffman Cove_1998,Coffman Cove,1998,Terrestrial,Plants/Greens,2.61,127,331.47,150.35,Plants/Greens,Spinach,14.40,4773.17,0.00,1002.35,7.892507238
Tongass,Coffman Cove_1998,Coffman Cove,1998,Freshwater_Anadromous,Rainbow Trout,5.06,127,642.62,291.49,Trout,Pacific Salmon,11.99,7705.01,0.01,1943.25,15.30118261
Tongass,Coffman Cove_1998,Coffman Cove,1998,Marine,Rock Greenling,0.09,127,11.43,5.18,Non-Halibut Fish,Pacific Cod,8.79,100.47,0.00,34.56,0.272155422
Tongass,Coffman Cove_1998,Coffman Cove,1998,Marine,Rockfish,12.37,127,1570.99,712.59,Non-Halibut Fish,Rockfish,8.79,13809.00,0.01,4750.59,37.40625078
Tongass,Coffman Cove_1998,Coffman Cove,1998,Marine,Sablefish (black cod),3.41,127,433.07,196.44,Non-Halibut Fish,Pacific Cod,8.79,3806.69,0.00,1309.58,10.31166654
Tongass,Coffman Cove_1998,Coffman Cove,1998,Marine,Scallop,2.08,127,264.16,119.82,Marine Invertebrates,Scallop,11.19,2955.95,0.00,798.81,6.289814197
Tongass,Coffman Cove_1998,Coffman Cove,1998,Marine,Sculpin,0.01,127,1.27,0.58,Non-Halibut Fish,Rockfish,8.79,11.16,0.00,3.84,0.030239491
Tongass,Coffman Cove_1998,Coffman Cove,1998,Nearshore,Sea Cucumber,3.06,127,388.62,176.28,Nearshore Invertebrates,Scallop,11.19,4348.66,0.00,1175.17,9.253284348
Tongass,Coffman Cove_1998,Coffman Cove,1998,Marine,Seal,0.59,127,74.93,33.99,Marine Mammals,Halibut,27.99,2097.04,0.00,226.58,1.784129989
Tongass,Coffman Cove_1998,Coffman Cove,1998,Nearshore,Seaweed/Kelp,0.55,127,69.85,31.68,Seaweed/Kelp,Seaweed,130.88,9141.97,0.01,211.22,1.663172023
Tongass,Coffman Cove_1998,Coffman Cove,1998,Marine,Shark,0.13,127,16.51,7.49,Non-Halibut Fish,Halibut,27.99,462.06,0.00,49.93,0.393113387
Tongass,Coffman Cove_1998,Coffman Cove,1998,Marine,Shrimp,1.72,127,218.44,99.08,Marine Invertebrates,Shrimp,7.99,1745.34,0.00,660.55,5.201192509
Tongass,Coffman Cove_1998,Coffman Cove,1998,Marine,Skates,0.04,127,5.08,2.30,Non-Halibut Fish,Halibut,27.99,142.17,0.00,15.36,0.120957965
Tongass,Coffman Cove_1998,Coffman Cove,1998,Freshwater_Anadromous,Sockeye Salmon,22.61,127,2871.47,1302.48,Salmon,Pacific Salmon,11.99,34428.93,0.03,8683.18,68.3714899
Tongass,Coffman Cove_1998,Coffman Cove,1998,Marine,Sole,0.07,127,8.89,4.03,Non-Halibut Fish,Sole,6.50,57.74,0.00,26.88,0.211676439
Tongass,Coffman Cove_1998,Coffman Cove,1998,Terrestrial,Swan,0.06,127,7.62,3.46,Birds/Eggs,Duck,16.00,121.92,0.00,23.04,0.181436948
Tongass,Coffman Cove_1998,Coffman Cove,1998,Marine,Tanner Crab,0.35,127,44.45,20.16,Offshore Crab,Crab,30.00,1333.46,0.00,134.41,1.058382197
Tongass,Coffman Cove_1998,Coffman Cove,1998,Terrestrial,Upland Game Birds,0.58,127,73.66,33.41,Birds/Eggs,Duck,16.00,1178.56,0.00,222.74,1.753890497
Tongass,Coffman Cove_1998,Coffman Cove,1998,Terrestrial,Wilson's Snipe,0.02,127,2.54,1.15,Birds/Eggs,Duck,16.00,40.64,0.00,7.68,0.060478983
Tongass,Craig_1997,Craig,1997,Nearshore,Abalone,0.34,1036,352.24,159.77,Mollusc,Scallop,11.19,3941.57,0.00,1065.16,1.028142705
Tongass,Craig_1997,Craig,1997,Terrestrial,Beaver,0.37,1036,383.32,173.87,Small Land Mammals,Venison,25.00,9582.23,0.01,1159.14,1.118861179
Tongass,Craig_1997,Craig,1997,Terrestrial,Berries,11.83,1036,12255.88,5559.17,Berries,Blueberries,8.96,109812.68,0.11,37061.16,35.77331825
Tongass,Craig_1997,Craig,1997,Terrestrial,Black Bear,0.92,1036,953.12,432.33,Other Large Land Mammals,Bison,33.00,31451.05,0.03,2882.19,2.782033203
Tongass,Craig_1997,Craig,1997,Freshwater_Anadromous,Brook Trout,0.16,1036,165.76,75.19,Char,Pacific Salmon,11.99,1987.46,0.00,501.25,0.483831861
Tongass,Craig_1997,Craig,1997,Terrestrial,Caribou,0.78,1036,808.08,366.54,Other Large Land Mammals,Venison,25.00,20200.38,0.02,2443.59,2.358680324
Tongass,Craig_1997,Craig,1997,Freshwater_Anadromous,Chinook Salmon,14.22,1036,14731.92,6682.29,Salmon,Pacific Salmon,11.99,176635.72,0.18,44548.58,43.00055668
Tongass,Craig_1997,Craig,1997,Nearshore,Chiton,0.53,1036,549.08,249.06,Mollusc,Scallop,11.19,6144.21,0.01,1660.39,1.602693041
Tongass,Craig_1997,Craig,1997,Freshwater_Anadromous,Chum Salmon,5.49,1036,5687.64,2579.87,Salmon,Pacific Salmon,11.99,68194.80,0.07,17199.13,16.60148074
Tongass,Craig_1997,Craig,1997,Nearshore,Clam,5.30,1036,5490.80,2490.58,Mollusc,Scallop,11.19,61442.05,0.06,16603.90,16.02693041
Tongass,Craig_1997,Craig,1997,Nearshore,Cockle,0.91,1036,942.76,427.63,Mollusc,Scallop,11.19,10549.48,0.01,2850.86,2.751793711
Tongass,Craig_1997,Craig,1997,Freshwater_Anadromous,Coho Salmon,20.32,1036,21051.52,9548.81,Salmon,Pacific Salmon,11.99,252407.72,0.25,63658.73,61.44664639
Tongass,Craig_1997,Craig,1997,Terrestrial,Crane,0.03,1036,31.08,14.10,Birds/Eggs,Duck,16.00,497.28,0.00,93.98,0.090718474
Tongass,Craig_1997,Craig,1997,Freshwater_Anadromous,Cutthroat Trout,1.33,1036,1377.88,625.00,Trout,Pacific Salmon,11.99,16520.78,0.02,4166.64,4.021852347
Tongass,Craig_1997,Craig,1997,Terrestrial,Deer,43.67,1036,45242.12,20521.48,Deer,Venison,25.00,1130962.52,1.13,136809.87,132.0558587
Tongass,Craig_1997,Craig,1997,Freshwater_Anadromous,Dolly Varden,2.87,1036,2973.32,1348.68,Char,Pacific Salmon,11.99,35650.11,0.04,8991.17,8.678734013
Tongass,Craig_1997,Craig,1997,Terrestrial,Duck,0.46,1036,476.56,216.16,Birds/Eggs,Duck,16.00,7624.96,0.01,1441.09,1.391016601
Tongass,Craig_1997,Craig,1997,Nearshore,Dungeness Crab,4.67,1036,4838.12,2194.53,Nearshore Crab,Crab,30.00,145138.76,0.15,14630.23,14.12184245
Tongass,Craig_1997,Craig,1997,Marine,Flounder,0.06,1036,62.16,28.20,Non-Halibut Fish,Halibut,27.99,1739.65,0.00,187.97,0.181436948
Tongass,Craig_1997,Craig,1997,Marine,Gadiformes,1.05,1036,1087.80,493.42,Non-Halibut Fish,Pacific Cod,8.79,9561.76,0.01,3289.45,3.17514659
Tongass,Craig_1997,Craig,1997,Terrestrial,Geese,0.24,1036,248.64,112.78,Birds/Eggs,Duck,16.00,3978.24,0.00,751.87,0.725747792
Tongass,Craig_1997,Craig,1997,Marine,Grayling,0.01,1036,10.36,4.70,Non-Halibut Fish,Pacific Cod,8.79,91.06,0.00,31.33,0.030239491
Tongass,Craig_1997,Craig,1997,Marine,Halibut,30.67,1036,31774.12,14412.50,Halibut,Halibut,27.99,889251.71,0.89,96083.32,92.74451992
Tongass,Craig_1997,Craig,1997,Marine,Herring,0.95,1036,984.20,446.43,Non-Halibut Fish,Herring,9.32,9172.74,0.01,2976.17,2.872751677
Tongass,Craig_1997,Craig,1997,Nearshore,Herring Roe,8.15,1036,8443.40,3829.86,Herring Roe,Herring,9.32,78692.49,0.08,25532.41,24.64518544
Tongass,Craig_1997,Craig,1997,Marine,Kelp Greenling,0.02,1036,20.72,9.40,Non-Halibut Fish,Pacific Cod,8.79,182.13,0.00,62.66,0.060478983
Tongass,Craig_1997,Craig,1997,Marine,King Crab,2.83,1036,2931.88,1329.88,Offshore Crab,Crab,30.00,87953.47,0.09,8865.86,8.557776047
Tongass,Craig_1997,Craig,1997,Marine,Lingcod,3.18,1036,3294.48,1494.35,Non-Halibut Fish,Pacific Cod,8.79,28958.48,0.03,9962.34,9.616158244
Tongass,Craig_1997,Craig,1997,Terrestrial,Marten,0.03,1036,31.08,14.10,Small Land Mammals,Venison,25.00,776.94,0.00,93.98,0.090718474
Tongass,Craig_1997,Craig,1997,Terrestrial,Moose,0.80,1036,828.80,375.94,Other Large Land Mammals,Venison,25.00,20718.34,0.02,2506.25,2.419159307
Tongass,Craig_1997,Craig,1997,Nearshore,Mussel,0.02,1036,20.72,9.40,Mollusc,Scallop,11.19,231.86,0.00,62.66,0.060478983
Tongass,Craig_1997,Craig,1997,Marine,Octopus,1.20,1036,1243.20,563.91,Marine Invertebrates,Octopus,32.38,40253.63,0.04,3759.37,3.62873896
Tongass,Craig_1997,Craig,1997,Freshwater_Anadromous,Pink Salmon,2.09,1036,2165.24,982.14,Salmon,Pacific Salmon,11.99,25961.23,0.03,6547.58,6.320053689
Tongass,Craig_1997,Craig,1997,Terrestrial,Plants/Greens,3.31,1036,3429.16,1555.44,Plants/Greens,Spinach,14.40,49379.90,0.05,10369.61,10.00927163
Tongass,Craig_1997,Craig,1997,Freshwater_Anadromous,Rainbow Trout,2.26,1036,2341.36,1062.02,Trout,Pacific Salmon,11.99,28072.91,0.03,7080.15,6.834125041
Tongass,Craig_1997,Craig,1997,Marine,Rock Greenling,0.07,1036,72.52,32.89,Non-Halibut Fish,Pacific Cod,8.79,637.45,0.00,219.30,0.211676439
Tongass,Craig_1997,Craig,1997,Marine,Rockfish,9.08,1036,9406.88,4266.89,Non-Halibut Fish,Rockfish,8.79,82686.48,0.08,28445.93,27.45745813
Tongass,Craig_1997,Craig,1997,Marine,Sablefish (black cod),0.60,1036,621.60,281.95,Non-Halibut Fish,Pacific Cod,8.79,5463.86,0.01,1879.69,1.81436948
Tongass,Craig_1997,Craig,1997,Marine,Scallop,0.40,1036,414.40,187.97,Marine Invertebrates,Scallop,11.19,4637.14,0.00,1253.12,1.209579653
Tongass,Craig_1997,Craig,1997,Marine,Sculpin,0.06,1036,62.16,28.20,Non-Halibut Fish,Rockfish,8.79,546.39,0.00,187.97,0.181436948
Tongass,Craig_1997,Craig,1997,Nearshore,Sea Cucumber,2.79,1036,2890.44,1311.08,Nearshore Invertebrates,Scallop,11.19,32344.02,0.03,8740.54,8.436818082
Tongass,Craig_1997,Craig,1997,Nearshore,Sea Urchin,0.12,1036,124.32,56.39,Nearshore Invertebrates,Scallop,11.19,1391.14,0.00,375.94,0.362873896
Tongass,Craig_1997,Craig,1997,Terrestrial,Seabirds and Loon Eggs,0.09,1036,93.24,42.29,Birds/Eggs,Eggs,4.99,465.58,0.00,281.95,0.272155422
Tongass,Craig_1997,Craig,1997,Marine,Seal,10.10,1036,10463.60,4746.21,Marine Mammals,Halibut,27.99,292841.29,0.29,31641.39,30.54188625
Tongass,Craig_1997,Craig,1997,Nearshore,Seaweed/Kelp,3.53,1036,3657.08,1658.82,Seaweed/Kelp,Seaweed,130.88,478638.63,0.48,11058.82,10.67454044
Tongass,Craig_1997,Craig,1997,Marine,Shark,1.90,1036,1968.40,892.85,Non-Halibut Fish,Halibut,27.99,55088.95,0.06,5952.34,5.745503353
Tongass,Craig_1997,Craig,1997,Marine,Shrimp,9.09,1036,9417.24,4271.59,Marine Invertebrates,Shrimp,7.99,75243.75,0.08,28477.25,27.48769762
Tongass,Craig_1997,Craig,1997,Marine,Skates,0.02,1036,20.72,9.40,Non-Halibut Fish,Halibut,27.99,579.88,0.00,62.66,0.060478983
Tongass,Craig_1997,Craig,1997,Freshwater_Anadromous,Smelt,0.05,1036,51.80,23.50,Other Freshwater/Anadromous Fish,Herring,9.32,482.78,0.00,156.64,0.151197457
Tongass,Craig_1997,Craig,1997,Freshwater_Anadromous,Sockeye Salmon,22.49,1036,23299.64,10568.54,Salmon,Pacific Salmon,11.99,279362.68,0.28,70456.93,68.00861601
Tongass,Craig_1997,Craig,1997,Marine,Sole,0.02,1036,20.72,9.40,Non-Halibut Fish,Sole,6.50,134.58,0.00,62.66,0.060478983
Tongass,Craig_1997,Craig,1997,Marine,Tanner Crab,0.35,1036,362.60,164.47,Offshore Crab,Crab,30.00,10877.64,0.01,1096.48,1.058382197
Tongass,Craig_1997,Craig,1997,Marine,Unknown Crab,0.01,1036,10.36,4.70,Offshore Crab,Crab,30.00,310.79,0.00,31.33,0.030239491
Tongass,Craig_1997,Craig,1997,Terrestrial,Upland Game Birds,0.06,1036,62.16,28.20,Birds/Eggs,Duck,16.00,994.56,0.00,187.97,0.181436948
Tongass,Edna Bay_1998,Edna Bay,1998,Nearshore,Abalone,0.06,25,1.50,0.68,Mollusc,Scallop,11.19,16.79,0.00,4.54,0.181436948
Tongass,Edna Bay_1998,Edna Bay,1998,Terrestrial,Berries,25.68,25,642.00,291.21,Berries,Blueberries,8.96,5752.32,0.01,1941.38,77.65501374
Tongass,Edna Bay_1998,Edna Bay,1998,Terrestrial,Black Bear,3.14,25,78.50,35.61,Other Large Land Mammals,Bison,33.00,2590.34,0.00,237.38,9.495200279
Tongass,Edna Bay_1998,Edna Bay,1998,Freshwater_Anadromous,Brook Trout,0.08,25,2.00,0.91,Char,Pacific Salmon,11.99,23.98,0.00,6.05,0.241915931
Tongass,Edna Bay_1998,Edna Bay,1998,Freshwater_Anadromous,Chinook Salmon,17.61,25,440.25,199.69,Salmon,Pacific Salmon,11.99,5278.60,0.01,1331.29,53.25174424
Tongass,Edna Bay_1998,Edna Bay,1998,Freshwater_Anadromous,Chum Salmon,1.95,25,48.75,22.11,Salmon,Pacific Salmon,11.99,584.51,0.00,147.42,5.89670081
Tongass,Edna Bay_1998,Edna Bay,1998,Nearshore,Clam,1.45,25,36.25,16.44,Mollusc,Scallop,11.19,405.64,0.00,109.62,4.384726243
Tongass,Edna Bay_1998,Edna Bay,1998,Freshwater_Anadromous,Coho Salmon,20.36,25,509.00,230.88,Salmon,Pacific Salmon,11.99,6102.91,0.01,1539.19,61.56760435
Tongass,Edna Bay_1998,Edna Bay,1998,Freshwater_Anadromous,Cutthroat Trout,2.11,25,52.75,23.93,Trout,Pacific Salmon,11.99,632.47,0.00,159.51,6.380532671
Tongass,Edna Bay_1998,Edna Bay,1998,Terrestrial,Deer,86.49,25,2162.25,980.78,Deer,Venison,25.00,54051.93,0.05,6538.53,261.5413605
Tongass,Edna Bay_1998,Edna Bay,1998,Freshwater_Anadromous,Dolly Varden,3.21,25,80.25,36.40,Char,Pacific Salmon,11.99,962.20,0.00,242.67,9.706876718
Tongass,Edna Bay_1998,Edna Bay,1998,Terrestrial,Duck,0.30,25,7.50,3.40,Birds/Eggs,Duck,16.00,120.00,0.00,22.68,0.90718474
Tongass,Edna Bay_1998,Edna Bay,1998,Nearshore,Dungeness Crab,1.93,25,48.25,21.89,Nearshore Crab,Crab,30.00,1447.45,0.00,145.91,5.836221827
Tongass,Edna Bay_1998,Edna Bay,1998,Marine,Gadiformes,0.16,25,4.00,1.81,Non-Halibut Fish,Pacific Cod,8.79,35.16,0.00,12.10,0.483831861
Tongass,Edna Bay_1998,Edna Bay,1998,Terrestrial,Geese,0.03,25,0.75,0.34,Birds/Eggs,Duck,16.00,12.00,0.00,2.27,0.090718474
Tongass,Edna Bay_1998,Edna Bay,1998,Marine,Halibut,62.97,25,1574.25,714.07,Halibut,Halibut,27.99,44058.01,0.04,4760.45,190.4180769
Tongass,Edna Bay_1998,Edna Bay,1998,Marine,Herring,21.62,25,540.50,245.17,Non-Halibut Fish,Herring,9.32,5037.46,0.01,1634.44,65.37778026
Tongass,Edna Bay_1998,Edna Bay,1998,Nearshore,Herring Roe,0.68,25,17.00,7.71,Herring Roe,Herring,9.32,158.44,0.00,51.41,2.056285411
Tongass,Edna Bay_1998,Edna Bay,1998,Marine,Lingcod,12.60,25,315.00,142.88,Non-Halibut Fish,Pacific Cod,8.79,2768.85,0.00,952.54,38.10175908
Tongass,Edna Bay_1998,Edna Bay,1998,Marine,Octopus,1.38,25,34.50,15.65,Marine Invertebrates,Octopus,32.38,1117.08,0.00,104.33,4.173049804
Tongass,Edna Bay_1998,Edna Bay,1998,Freshwater_Anadromous,Pink Salmon,13.96,25,349.00,158.30,Salmon,Pacific Salmon,11.99,4184.51,0.00,1055.36,42.2143299
