Forest,Site_Year_Code,Community,Harvest_Survey_Year,Habitat,Lowest_Common_Taxon_Name,Percapita_Pounds_Harvested_sum,Community_Population_2020,est_total_lbs_2020,est_total_kgs_2020,Group,Food Category,Cost_per_lb,total_cost_est_2020,total_cost_est_2020_mil,servings,servigs_percapita
Chugach,Cooper Landing_1990,Cooper Landing,1990,Nearshore,Cockle,0.07,344,24.08,10.92,Mollusc,Scallop,11.19,269.46,0.00,72.82,0.211676439
Chugach,Cooper Landing_1990,Cooper Landing,1990,Freshwater_Anadromous,Coho Salmon,11.79,344,4055.76,1839.66,Salmon,Pacific Salmon,11.99,48628.56,0.05,12264.41,35.65236028
Chugach,Cooper Landing_1990,Cooper Landing,1990,Terrestrial,Crane,0.09,344,30.96,14.04,Birds/Eggs,Duck,16.00,495.36,0.00,93.62,0.272155422
Chugach,Cooper Landing_1990,Cooper Landing,1990,Terrestrial,Dall Sheep,0.61,344,209.84,95.18,Other Large Land Mammals,Venison,25.00,5245.58,0.01,634.55,1.844608971
Chugach,Cooper Landing_1990,Cooper Landing,1990,Terrestrial,Deer,2.83,344,973.52,441.58,Deer,Venison,25.00,24336.05,0.02,2943.87,8.557776047
Chugach,Cooper Landing_1990,Cooper Landing,1990,Freshwater_Anadromous,Dolly Varden,3.62,344,1245.28,564.85,Char,Pacific Salmon,11.99,14930.91,0.01,3765.66,10.94669586
Chugach,Cooper Landing_1990,Cooper Landing,1990,Terrestrial,Duck,0.27,344,92.88,42.13,Birds/Eggs,Duck,16.00,1486.08,0.00,280.86,0.816466266
Chugach,Cooper Landing_1990,Cooper Landing,1990,Terrestrial,Elk,1.05,344,361.20,163.84,Other Large Land Mammals,Venison,25.00,9029.28,0.01,1092.25,3.17514659
Chugach,Cooper Landing_1990,Cooper Landing,1990,Marine,Gadiformes,0.23,344,79.12,35.89,Non-Halibut Fish,Pacific Cod,8.79,695.46,0.00,239.25,0.695508301
Chugach,Cooper Landing_1990,Cooper Landing,1990,Terrestrial,Geese,0.11,344,37.84,17.16,Birds/Eggs,Duck,16.00,605.44,0.00,114.43,0.332634405
Chugach,Cooper Landing_1990,Cooper Landing,1990,Marine,Grayling,0.43,344,147.92,67.10,Non-Halibut Fish,Pacific Cod,8.79,1300.22,0.00,447.30,1.300298127
Chugach,Cooper Landing_1990,Cooper Landing,1990,Marine,Halibut,6.97,344,2397.68,1087.57,Halibut,Halibut,27.99,67103.07,0.07,7250.46,21.07692546
Chugach,Cooper Landing_1990,Cooper Landing,1990,Terrestrial,Hare,0.15,344,51.60,23.41,Small Land Mammals,Venison,25.00,1289.90,0.00,156.04,0.45359237
Chugach,Cooper Landing_1990,Cooper Landing,1990,Freshwater_Anadromous,Lake Trout,0.80,344,275.20,124.83,Trout,Pacific Salmon,11.99,3299.65,0.00,832.19,2.419159307
Chugach,Cooper Landing_1990,Cooper Landing,1990,Freshwater_Anadromous,Landlocked Salmon,0.22,344,75.68,34.33,Salmon,Pacific Salmon,11.99,907.40,0.00,228.85,0.665268809
Chugach,Cooper Landing_1990,Cooper Landing,1990,Marine,Lingcod,0.87,344,299.28,135.75,Non-Halibut Fish,Pacific Cod,8.79,2630.67,0.00,905.01,2.630835746
Chugach,Cooper Landing_1990,Cooper Landing,1990,Terrestrial,Marmot,0.04,344,13.76,6.24,Small Land Mammals,Venison,25.00,343.97,0.00,41.61,0.120957965
Chugach,Cooper Landing_1990,Cooper Landing,1990,Terrestrial,Moose,18.73,344,6443.12,2922.55,Other Large Land Mammals,Venison,25.00,161065.11,0.16,19483.67,56.63856727
Chugach,Cooper Landing_1990,Cooper Landing,1990,Nearshore,Mussel,0.05,344,17.20,7.80,Mollusc,Scallop,11.19,192.47,0.00,52.01,0.151197457
Chugach,Cooper Landing_1990,Cooper Landing,1990,Freshwater_Anadromous,Pike,0.04,344,13.76,6.24,Other Freshwater/Anadromous Fish,Pacific Cod,8.79,120.95,0.00,41.61,0.120957965
Chugach,Cooper Landing_1990,Cooper Landing,1990,Freshwater_Anadromous,Pink Salmon,0.21,344,72.24,32.77,Salmon,Pacific Salmon,11.99,866.16,0.00,218.45,0.635029318
Chugach,Cooper Landing_1990,Cooper Landing,1990,Terrestrial,Plants/Greens,0.45,344,154.80,70.22,Plants/Greens,Spinach,14.40,2229.12,0.00,468.11,1.36077711
Chugach,Cooper Landing_1990,Cooper Landing,1990,Freshwater_Anadromous,Rainbow Trout,0.73,344,251.12,113.91,Trout,Pacific Salmon,11.99,3010.93,0.00,759.37,2.207482867
Chugach,Cooper Landing_1990,Cooper Landing,1990,Marine,Rockfish,0.45,344,154.80,70.22,Non-Halibut Fish,Rockfish,8.79,1360.69,0.00,468.11,1.36077711
Chugach,Cooper Landing_1990,Cooper Landing,1990,Marine,Shrimp,0.09,344,30.96,14.04,Marine Invertebrates,Shrimp,7.99,247.37,0.00,93.62,0.272155422
Chugach,Cooper Landing_1990,Cooper Landing,1990,Freshwater_Anadromous,Smelt,0.06,344,20.64,9.36,Other Freshwater/Anadromous Fish,Herring,9.32,192.36,0.00,62.41,0.181436948
