Year,Sea lion harvest per capita,Native households harvesting sea lion,Native households using sea lion Harvest,Struck and lost,Total take
1995,0.08,14,50,6.6,6.6
1996,0.03,11,37,2.0,2.0
1997,0.0,0,0,0.0,0.0
1998,0.0,0,11,0.0,0.0
2000,0.0,0,56,0.0,0.0
2001,0.02,9,46,1.2,1.2
2002,0.0,0,8,0.0,0.0
2003,0.0,0,36,2.4,2.4
2004,0.0,0,17,0.0,0.0
2005,0.0,0,0,0.0,0.0
2006,0.0,0,0,0.0,0.0
2007,0.04,22,44,2.9,2.9
2008,0.0,0,0,0.0,0.0
