"","General_Category","General_Category_lvl2","Family","Species","Species_2","Habitat"
"69","Land Mammals","Small Land Mammals","Wolf","Wolf","Wolf","Terrestrial"
"70","Land Mammals","Large Land Mammals","Caribou","Caribou","Caribou","Terrestrial"
"71","Land Mammals","Small Land Mammals","Fox","Red Fox","Red Fox","Terrestrial"
"72","Land Mammals","Large Land Mammals","Brown Bear","Brown Bear","Brown Bear","Terrestrial"
"73","Land Mammals","Small Land Mammals","Squirrel","Unknown Squirrel","Squirrel","Terrestrial"
"74","Land Mammals","Large Land Mammals","Unknown Large Land Mammal","Unknown Large Land Mammal","Large Land Mammal","Terrestrial"
"75","Land Mammals","Small Land Mammals","Coyote","Coyote","Coyote","Terrestrial"
"76","Land Mammals","Small Land Mammals","Lynx","Lynx","Lynx","Terrestrial"
"77","Land Mammals","Small Land Mammals","Marmot","Marmot","Marmot","Terrestrial"
"78","Land Mammals","Small Land Mammals","Muskrat","Muskrat","Muskrat","Terrestrial"
"79","Land Mammals","Small Land Mammals","Porcupine","Porcupine","Porcupine","Terrestrial"
"80","Land Mammals","Small Land Mammals","Wolverine","Wolverine","Wolverine","Terrestrial"
"81","Land Mammals","Small Land Mammals","Hare","Unknown Hare","Hare","Terrestrial"
"82","Land Mammals","Small Land Mammals","Hare","Snowshoe Hare","Snowshoe Hare","Terrestrial"
"83","Land Mammals","Small Land Mammals","Squirrel","Tree Squirrel","Tree Squirrel","Terrestrial"
"84","Land Mammals","Large Land Mammals","Dall Sheep","Dall Sheep","Dall Sheep","Terrestrial"
"85","Land Mammals","Large Land Mammals","Muskox","Muskox","Muskox","Terrestrial"
"86","Land Mammals","Small Land Mammals","Squirrel","Flying Squirrel","Flying Squirrel","Terrestrial"
"87","Marine Mammals","Marine Mammals","Seal","Harbor Seal","Harbor Seal","Marine"
"88","Marine Mammals","Marine Mammals","Sea Otter","Sea Otter","Sea Otter","Marine"
"89","Marine Mammals","Marine Mammals","Unknown Marine Mammals","Unknown Marine Mammals","Marine Mammals","Marine"
"90","Marine Mammals","Marine Mammals","Whale","Bowhead","Bowhead","Marine"
"91","Marine Mammals","Marine Mammals","Stellar Sea Lion","Stellar Sea Lion","Stellar Sea Lion","Marine"
"92","Birds and Eggs","Migratory Birds","Ducks","Ducks","Ducks","Terrestrial"
"93","Birds and Eggs","Other Birds","Upland Game Birds","Upland Game Birds","Upland Game Birds","Terrestrial"
"94","Birds and Eggs","Migratory Birds","Seabirds and Loons","Seabirds and Loons","Seabirds and Loons","Terrestrial"
"95","Birds and Eggs","Bird Eggs","Seabirds and Loons","Seabirds and Loons","Seabirds and Loons","Terrestrial"
"96","Birds and Eggs","Migratory Birds","Geese","Geese","Geese","Terrestrial"
"97","Birds and Eggs","Migratory Birds","Crane","Crane","Crane","Terrestrial"
"98","Birds and Eggs","Other Birds","Unknown Other Birds","Unknown Other Birds","Other Birds","Terrestrial"
"99","Birds and Eggs","Bird Eggs","Unknown Eggs","Unknown Eggs","Eggs","Terrestrial"
"100","Birds and Eggs","Migratory Birds","Ducks","Teal","Teal","Terrestrial"
"101","Birds and Eggs","Migratory Birds","Ducks","Wigeon","Wigeon","Terrestrial"
"102","Birds and Eggs","Migratory Birds","Geese","Canada Geese","Canada Geese","Terrestrial"
"103","Birds and Eggs","Other Birds","Upland Game Birds","Grouse","Grouse","Terrestrial"
"104","Birds and Eggs","Migratory Birds","Ducks","Goldeneye","Goldeneye","Terrestrial"
"105","Birds and Eggs","Migratory Birds","Ducks","Scaup","Scaup","Terrestrial"
"106","Birds and Eggs","Other Birds","Upland Game Birds","Ptarmigan","Ptarmigan","Terrestrial"
"107","Birds and Eggs","Migratory Birds","Shorebird","Unknown Shorebirds","Shorebirds","Terrestrial"
"108","Birds and Eggs","Migratory Birds","Ducks","Bufflehead","Bufflehead","Terrestrial"
"109","Birds and Eggs","Migratory Birds","Ducks","Harlequin","Harlequin","Terrestrial"
"110","Birds and Eggs","Migratory Birds","Ducks","Mallard","Mallard","Terrestrial"
"111","Birds and Eggs","Migratory Birds","Ducks","Long-tailed Duck (Oldsquaw)","Long-tailed Duck (Oldsquaw)","Terrestrial"
"112","Birds and Eggs","Migratory Birds","Ducks","Northern Pintail","Northern Pintail","Terrestrial"
"113","Birds and Eggs","Migratory Birds","Ducks","Green-Winged Teal","Green-Winged Teal","Terrestrial"
"114","Birds and Eggs","Migratory Birds","Ducks","Unknown Wigeon","Wigeon","Terrestrial"
"115","Birds and Eggs","Migratory Birds","Ducks","Unknown Ducks","Ducks","Terrestrial"
"116","Birds and Eggs","Migratory Birds","Geese","Vancouver Canada Geese","Vancouver Canada Geese","Terrestrial"
"117","Birds and Eggs","Migratory Birds","Geese","Unknown Canada Geese","Canada Geese","Terrestrial"
"118","Birds and Eggs","Migratory Birds","Swan","Tundra Swan (whistling)","Tundra Swan (whistling)","Terrestrial"
"119","Birds and Eggs","Migratory Birds","Crane","Sandhill Crane","Sandhill Crane","Terrestrial"
"120","Birds and Eggs","Migratory Birds","Shorebird","Wilson's Snipe","Wilson's Snipe","Terrestrial"
"121","Birds and Eggs","Migratory Birds","Ducks","Barrows Goldeneye","Barrows Goldeneye","Terrestrial"
"122","Birds and Eggs","Migratory Birds","Ducks","Common Goldeneye","Common Goldeneye","Terrestrial"
"123","Birds and Eggs","Migratory Birds","Ducks","Unknown Scaup","Scaup","Terrestrial"
"124","Birds and Eggs","Migratory Birds","Ducks","American Wigeon","American Wigeon","Terrestrial"
"125","Birds and Eggs","Migratory Birds","Geese","White-fronted Geese","White-fronted Geese","Terrestrial"
"126","Birds and Eggs","Other Birds","Upland Game Birds","Rock Ptarmigan","Rock Ptarmigan","Terrestrial"
"127","Birds and Eggs","Other Birds","Upland Game Birds","Willow Ptarmigan","Willow Ptarmigan","Terrestrial"
"128","Birds and Eggs","Other Birds","Upland Game Birds","Unknown Ptarmigan","Ptarmigan","Terrestrial"
"129","Birds and Eggs","Migratory Birds","Ducks","Gadwall","Gadwall","Terrestrial"
"130","Birds and Eggs","Migratory Birds","Ducks","Unknown Teal","Teal","Terrestrial"
"131","Birds and Eggs","Migratory Birds","Geese","Brant","Brant","Terrestrial"
"132","Birds and Eggs","Bird Eggs","Seabirds and Loons","Unknown Gull","Gull","Terrestrial"
"133","Birds and Eggs","Bird Eggs","Seabirds and Loons","Common Murre","Common Murre","Terrestrial"
"134","Birds and Eggs","Migratory Birds","Ducks","Common Merganser","Common Merganser","Terrestrial"
"135","Birds and Eggs","Migratory Birds","Ducks","Canvasback","Canvasback","Terrestrial"
"136","Birds and Eggs","Migratory Birds","Ducks","Lesser Scaup","Lesser Scaup","Terrestrial"
"137","Birds and Eggs","Migratory Birds","Ducks","Surf Scoter","Surf Scoter","Terrestrial"
"138","Birds and Eggs","Migratory Birds","Ducks","Unknown Scoter","Scoter","Terrestrial"
"139","Birds and Eggs","Migratory Birds","Geese","Unknown Geese","Geese","Terrestrial"
"140","Birds and Eggs","Bird Eggs","Seabirds and Loons","Glaucous Winged Gull","Glaucous Winged Gull","Terrestrial"
"141","Birds and Eggs","Bird Eggs","Seabirds and Loons","Unknown Seabird","Seabird","Terrestrial"
"142","Birds and Eggs","Bird Eggs","Ducks","Unknown Duck","Duck","Terrestrial"
"143","Birds and Eggs","Other Birds","Upland Game Birds","Spruce Grouse","Spruce Grouse","Terrestrial"
"144","Birds and Eggs","Other Birds","Upland Game Birds","Ruffed Grouse","Ruffed Grouse","Terrestrial"
"145","Birds and Eggs","Migratory Birds","Ducks","Greater Scaup","Greater Scaup","Terrestrial"
"146","Birds and Eggs","Migratory Birds","Geese","Lesser Canada Geese","Lesser Canada Geese","Terrestrial"
"147","Birds and Eggs","Migratory Birds","Seabirds and Loons","Cormorants","Cormorants","Terrestrial"
"148","Birds and Eggs","Migratory Birds","Seabirds and Loons","Guillemot","Guillemot","Terrestrial"
"149","Birds and Eggs","Migratory Birds","Geese","Snow Geese","Snow Geese","Terrestrial"
"150","Birds and Eggs","Migratory Birds","Ducks","Unknown Goldeneye","Goldeneye","Terrestrial"
"151","Birds and Eggs","Migratory Birds","Ducks","Red-Breasted Merganser","Red-Breasted Merganser","Terrestrial"
"152","Birds and Eggs","Migratory Birds","Ducks","Unknown Merganser","Merganser","Terrestrial"
"153","Birds and Eggs","Migratory Birds","Ducks","White-winged Scoter","White-winged Scoter","Terrestrial"
"154","Birds and Eggs","Bird Eggs","Seabirds and Loons","Tern","Tern","Terrestrial"
"155","Birds and Eggs","Bird Eggs","Seabirds and Loons","Unknown Tern","Tern","Terrestrial"
"156","Marine Invertebrates","Marine Invertebrates","Chiton","Red (large) Chiton","Red (large) Chiton","Nearshore"
"157","Marine Invertebrates","Marine Invertebrates","Chiton","Black (small) Chiton","Black (small) Chiton","Nearshore"
"158","Marine Invertebrates","Marine Invertebrates","Clam","Butter Clam","Butter Clam","Nearshore"
"159","Marine Invertebrates","Marine Invertebrates","Cockle","Basket Cockle","Basket Cockle","Nearshore"
"160","Marine Invertebrates","Marine Invertebrates","Cockle","Heart Cockle","Heart Cockle","Nearshore"
"161","Marine Invertebrates","Marine Invertebrates","Crab","Dungeness Crab","Dungeness Crab","Nearshore"
"162","Marine Invertebrates","Marine Invertebrates","Crab","King Crab","King Crab","Marine"
"163","Marine Invertebrates","Marine Invertebrates","Mussel","Blue Mussel","Blue Mussel","Nearshore"
"164","Marine Invertebrates","Marine Invertebrates","Octopus","Octopus","Octopus","Marine"
"165","Marine Invertebrates","Marine Invertebrates","Shrimp","Shrimp","Shrimp","Marine"
"166","Marine Invertebrates","Marine Invertebrates","Unknown Marine Invertebrates","Unknown Marine Invertebrates","Marine Invertebrates","Marine"
"167","Marine Invertebrates","Marine Invertebrates","Abalone","Abalone","Abalone","Nearshore"
"168","Marine Invertebrates","Marine Invertebrates","Geoduck","Geoduck","Geoduck","Nearshore"
"169","Marine Invertebrates","Marine Invertebrates","Clam","Horse Clam","Horse Clam","Nearshore"
"170","Marine Invertebrates","Marine Invertebrates","Clam","Razor Clam","Razor Clam","Nearshore"
"171","Marine Invertebrates","Marine Invertebrates","Crab","Box Crab","Box Crab","Marine"
"172","Marine Invertebrates","Marine Invertebrates","Oyster","Oyster","Oyster","Marine"
"173","Marine Invertebrates","Marine Invertebrates","Clam","Pacific Littleneck Clam","Pacific Littleneck Clam","Nearshore"
"174","Marine Invertebrates","Marine Invertebrates","Cockle","Unknown Cockle","Cockle","Nearshore"
"175","Marine Invertebrates","Marine Invertebrates","Crab","Red King Crab","Red King Crab","Marine"
"176","Marine Invertebrates","Marine Invertebrates","Sea Cucumber","Unknown Sea Cucumber","Sea Cucumber","Nearshore"
"177","Marine Invertebrates","Marine Invertebrates","Sea Urchin","Green Sea Urchin","Green Sea Urchin","Nearshore"
"178","Marine Invertebrates","Marine Invertebrates","Clam","Unknown Clam","Clam","Nearshore"
"179","Marine Invertebrates","Marine Invertebrates","Crab","Brown King Crab","Brown King Crab","Marine"
"180","Marine Invertebrates","Marine Invertebrates","Mussel","Unknown Mussel","Mussel","Nearshore"
"181","Marine Invertebrates","Marine Invertebrates","Scallop","Weathervane Scallop","Weathervane Scallop","Marine"
"182","Marine Invertebrates","Marine Invertebrates","Scallop","Rock Scallops","Rock Scallops","Marine"
"183","Marine Invertebrates","Marine Invertebrates","Sea Cucumber","Yein Sea Cucumber","Yein Sea Cucumber","Nearshore"
"184","Marine Invertebrates","Marine Invertebrates","Chiton","Unknown Chiton","Chiton","Nearshore"
"185","Marine Invertebrates","Marine Invertebrates","Crab","Unknown King Crab","King Crab","Marine"
"186","Marine Invertebrates","Marine Invertebrates","Crab","Unknown Crab","Crab","Marine"
"187","Marine Invertebrates","Marine Invertebrates","Scallop","Unknown Scallop","Scallop","Marine"
