"","Project_Name","Site_Year_Code","Habitat","General_Category","General_Category_lvl2","Family","Species","Reported_Pounds_Harvested","Estimated_Total_Pounds_Harvested","Mean_Pounds_Per_Household","Percapita_Pounds_Harvested","Number_Of_Resource_Harvested","Estimated_Amount_Harvested","Percent_Of_Total_Harvest","Conversion_Units_To_Pounds","Resource_Harvest_Units","Est_Comm_Population","Type","Site","Year","Genus"
"215","Prince of Wales 1998/1999","Coffman Cove_1998","Freshwater_Anadromous","Fish","Non-Salmon Fish","Char","Dolly Varden",432,648,8.64,3.04,160,240,0.00011017036,"2.7","Ind.","213",NA,NA,NA,NA
"216","Prince of Wales 1998/1999","Coffman Cove_1998","Marine","Fish","Non-Salmon Fish","Grayling","Grayling",0,0,0,0,0,0,0,"0.7","Ind.","213",NA,NA,NA,NA
"217","Prince of Wales 1998/1999","Coffman Cove_1998","Freshwater_Anadromous","Fish","Non-Salmon Fish","Trout","Cutthroat Trout",613.5,920,12.27,4.32,409,614,0.0001564147,"1.5","Ind.","213",NA,NA,NA,NA
"218","Prince of Wales 1998/1999","Coffman Cove_1998","Freshwater_Anadromous","Fish","Non-Salmon Fish","Trout","Rainbow Trout",328,492,6.56,2.31,164,246,8.3647865e-05,"2","Ind.","213",NA,NA,NA,NA
"219","Prince of Wales 1998/1999","Coffman Cove_1998","Freshwater_Anadromous","Fish","Non-Salmon Fish","Trout","Steelhead",391,586,7.82,2.75,46,69,9.962937e-05,"8.5","Ind.","213",NA,NA,NA,NA
"220","Prince of Wales 1998/1999","Coffman Cove_1998","Freshwater_Anadromous","Fish","Non-Salmon Fish","Trout","Unknown Trout",0,0,0,0,0,0,0,"0","Ind.","213",NA,NA,NA,NA
"221","Tongass Resource Use Cooperative Study 1987","Craig_1987","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Chum Salmon",NA,1718,4.708,1.45,NA,277,7.8382705e-05,"6.2","Ind.","1182.3",NA,NA,NA,NA
"222","Tongass Resource Use Cooperative Study 1987","Craig_1987","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Coho Salmon",NA,13971,38.29,11.82,NA,1814,0.0006374184,"7.7","Ind.","1182.3",NA,NA,NA,NA
"223","Tongass Resource Use Cooperative Study 1987","Craig_1987","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Chinook Salmon",NA,10486,28.738,8.87,NA,685,0.00047841738,"15.3","Ind.","1182.3",NA,NA,NA,NA
"224","Tongass Resource Use Cooperative Study 1987","Craig_1987","Freshwater_Anadromous","Fish","Salmon","Oncorhynchus","Pink Salmon",NA,4185,11.471,3.54,NA,1902,0.00019093808,"2.2","Ind.","1182.3",NA,NA,NA,NA
