"","Site_Year_Code","Family","est_total_lb_harv_diff","est_amount_harv_diff","mean_lb_perhousehold_diff","num_res_harv_diff","percap_lb_harv_diff","per_total_harv_diff","rep_lb_harv_diff"
"67","Yakutat_2015","Oncorhynchus",-0.0999999999912689,40854.7,2.8421709430404e-14,0,-1.05999998822881e-06,0,0
"68","Yakutat_2015","Osmeridae",0,2640.6,0,0,0,0,0
"69","Yakutat_2015","Rockfish",2.27373675443232e-13,727.9,-0.0999999999999996,0,-1.10000000219657e-08,0.000999999999999999,0
"70","Yakutat_2015","Trout",0,88.4,0,0,-3.60000000920735e-08,0,0
"71","Angoon_2012","Sculpin",-9.6,-9.6,-0.1,-4,0,0,-4
"72","Coffman Cove_1998","Sculpin",-3,-3,-0.04,-2,-0.01,-5.100479e-07,-2
"73","Craig_1997","Osmeridae",0,-263,0,-75,0,0,0
"74","Craig_1997","Sculpin",-21,-21,-0.02,-6,-0.01,-5.16054260000001e-07,-6
"75","Klawock_1984","Trout",-3,1,-0.0100000000000016,0,-0.00999999999999979,-2.83951000000005e-07,0
"76","Klawock_1997","Osmeridae",0,-215,0,-75,0,0,0
"77","Klukwan_2014","Char",-48,-48,-1.5,-12,-0.75,-0.1,-36
"78","Port Protection_1996","Sculpin",-3,-3,-0.08,-2,-0.02,-6.817562e-07,-2
"79","Sitka_2013","Sculpin",-5.9,-5.9,0,-1,-0.0007545303,0,-1
"80","Thorne Bay_1998","Sculpin",-5,-5,-0.02,-2,-0.01,-5.38561e-07,-2
"81","Wrangell_2000","Osmeridae",2.00000004042522e-05,-5293.367274,0,-694.4444447,1.00000000058387e-07,-1.00000000467781e-10,0
"82","Yakutat_2015","Char",-193,-137.8,-0.8,-58,-0.3261044,-0.001,-81.2
